game;Accurate passes_away_1ST;Accurate passes_away_2ND;Accurate passes_away_ALL;Accurate passes_home_1ST;Accurate passes_home_2ND;Accurate passes_home_ALL;Aerials won_away_1ST;Aerials won_away_2ND;Aerials won_away_ALL;Aerials won_home_1ST;Aerials won_home_2ND;Aerials won_home_ALL;Ball possession_away_1ST;Ball possession_away_2ND;Ball possession_away_ALL;Ball possession_home_1ST;Ball possession_home_2ND;Ball possession_home_ALL;Big chances missed_away_1ST;Big chances missed_away_2ND;Big chances missed_away_ALL;Big chances missed_home_1ST;Big chances missed_home_2ND;Big chances missed_home_ALL;Big chances_away_1ST;Big chances_away_2ND;Big chances_away_ALL;Big chances_home_1ST;Big chances_home_2ND;Big chances_home_ALL;Blocked shots_away_1ST;Blocked shots_away_2ND;Blocked shots_away_ALL;Blocked shots_home_1ST;Blocked shots_home_2ND;Blocked shots_home_ALL;Corner kicks_away_1ST;Corner kicks_away_2ND;Corner kicks_away_ALL;Corner kicks_home_1ST;Corner kicks_home_2ND;Corner kicks_home_ALL;Counter attacks_away_1ST;Counter attacks_away_2ND;Counter attacks_away_ALL;Counter attacks_home_1ST;Counter attacks_home_2ND;Counter attacks_home_ALL;Duels won_away_1ST;Duels won_away_2ND;Duels won_away_ALL;Duels won_home_1ST;Duels won_home_2ND;Duels won_home_ALL;Fouls_away_ALL;Fouls_home_ALL;Goalkeeper saves_away_1ST;Goalkeeper saves_away_2ND;Goalkeeper saves_away_ALL;Goalkeeper saves_home_1ST;Goalkeeper saves_home_2ND;Goalkeeper saves_home_ALL;Hit woodwork_away_1ST;Hit woodwork_away_2ND;Hit woodwork_away_ALL;Hit woodwork_home_1ST;Hit woodwork_home_2ND;Hit woodwork_home_ALL;Offsides_away_1ST;Offsides_away_2ND;Offsides_away_ALL;Offsides_home_1ST;Offsides_home_2ND;Offsides_home_ALL;Passes_away_1ST;Passes_away_2ND;Passes_away_ALL;Passes_home_1ST;Passes_home_2ND;Passes_home_ALL;Red cards_away_1ST;Red cards_away_2ND;Red cards_away_ALL;Red cards_home_1ST;Red cards_home_2ND;Red cards_home_ALL;Shots inside box_away_1ST;Shots inside box_away_2ND;Shots inside box_away_ALL;Shots inside box_home_1ST;Shots inside box_home_2ND;Shots inside box_home_ALL;Shots off target_away_1ST;Shots off target_away_2ND;Shots off target_away_ALL;Shots off target_home_1ST;Shots off target_home_2ND;Shots off target_home_ALL;Shots on target_away_1ST;Shots on target_away_2ND;Shots on target_away_ALL;Shots on target_home_1ST;Shots on target_home_2ND;Shots on target_home_ALL;Shots outside box_away_1ST;Shots outside box_away_2ND;Shots outside box_away_ALL;Shots outside box_home_1ST;Shots outside box_home_2ND;Shots outside box_home_ALL;Total shots_away_1ST;Total shots_away_2ND;Total shots_away_ALL;Total shots_home_1ST;Total shots_home_2ND;Total shots_home_ALL;Yellow cards_away_1ST;Yellow cards_away_2ND;Yellow cards_away_ALL;Yellow cards_home_1ST;Yellow cards_home_2ND;Yellow cards_home_ALL;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
SUN X ARS 2016-10-29;250 (86%);255 (85%);505 (85%);104 (69%);112 (76%);216 (72%);10;8;18;10;2;12;66%;67%;66%;34%;33%;34%;;;;;;;;;;;;;1;1;2;1;0;1;3;5;8;0;0;0;;;;;;;29;27;56;27;20;47;13;9;0;0;0;3;0;3;1;1;2;0;0;0;0;1;1;2;4;6;292;299;591;151;148;299;;;;;;;4;10;14;0;1;1;4;8;12;1;0;1;4;3;7;0;1;1;5;2;7;2;0;2;9;12;21;2;1;3;0;3;3;3;1;4;4;2016-10-29;-2;-9;-47;-26;-10;-49;-32;-29;-13;-15;-13;-2;-95;-49;-2;8;11;13;7;-25;-14;-16;9.0;-12;-13;-36;-22;-18;-40.0;-68;-42;-29;-62;-5;-39;-24;-24;-18;-15;-13;-30.0;-1;2;7;-12;-9;-9;-17;-2;-9;-7;-11;-13;-41;-39;-48;-29;-38;-28;-44;-24;-11;-9;74;36;20;10;-16;-55;-42;-100;-63;-41;-49;-53;-100;-100;-100;-13;-100;-62;-29;-16;-10;-8;-8;-9;-9.0;-9.0;-11;-4.0;-40.0;1;09:30:00;-1;ARS;SUN
MUN X BUR 2016-10-29;70 (62%);92 (70%);162 (66%);290 (90%);283 (87%);573 (89%);15;8;23;11;14;25;27%;30%;28%;73%;70%;72%;;;;;;;;;;;;;1;0;1;7;12;19;1;0;1;10;9;19;;;;;;;25;26;51;25;28;53;9;12;7;4;11;1;0;1;0;0;0;0;2;2;0;2;2;0;0;0;113;131;244;322;324;646;0;0;0;0;1;1;2;2;4;7;14;21;2;3;5;2;6;8;1;0;1;7;4;11;2;1;3;9;8;17;4;3;7;16;22;38;0;3;3;1;2;3;0;2016-10-29;-1;25;17;15;12;12;12;-12;8;14;50;39;32;23;17;13;-22;59;47;26;9;-11;29.0;-8;39;20;13;-55;-22.0;-51;-25;46;31;23;23;36;68;100;47;34;85.0;8;6;5;5;40;25;11;8;1;8;-28;128;100;99;66;68;54;50;74;43;27;18;6;51;81;30;41;-44;-14;-46;-5;2;4;3;5;-39;-20;56;-15;-8;22;14;10;2;9;6;16.0;100.0;37;79.0;75.0;0;12:00:00;0;BUR;MUN
MID X BOU 2016-10-29;206 (84%);232 (83%);438 (83%);155 (82%);120 (71%);275 (77%);5;11;16;5;6;11;57%;63%;60%;43%;37%;40%;;;;;;;;;;;;;3;4;7;1;1;2;4;5;9;2;2;4;0;0;0;1;0;1;23;36;59;25;27;52;7;7;0;1;1;1;1;2;1;1;2;0;0;0;;;;;;;245;281;526;189;168;357;;;;;;;3;4;7;3;2;5;3;5;8;4;2;6;2;1;3;1;2;3;5;6;11;3;3;6;8;10;18;6;5;11;1;0;1;1;1;2;0;2016-10-29;10;25;10;2;-10;-10;-87;-50;-54;-41;-17;36;7;13;-10;5;22;8;-4;-4;-32;-20;22.0;-11;-21;-11;-12;-15;-6.0;-5;-52;-35;41;13;56;33;23;14;5;-25;-5.0;5;-4;-4;-6;8;-12;-3;4;42;26;17;11;77;39;25;8;11;8;42;-39;-17;-14;-12;21;9;-36;6;-21;-17;-22;-97;-54;-36;-20;16;34;14;42;8;-11;-35;-53;-42;-31;-74;-48;-23.0;-15.0;49;-15.0;-35.0;2;12:00:00;1;BOU;MID
TOT X LEI 2016-10-29;95 (68%);86 (64%);181 (66%);221 (84%);184 (80%);405 (82%);3;9;12;15;15;30;35%;38%;36%;65%;62%;64%;;;;;;;;;;;;;1;0;1;2;4;6;1;0;1;4;4;8;;;;;;;19;27;46;38;34;72;20;11;2;3;5;0;0;0;0;0;0;1;1;2;0;1;1;0;2;2;140;135;275;264;229;493;;;;;;;2;2;4;5;5;10;2;2;4;5;6;11;0;1;1;3;2;5;1;1;2;5;7;12;3;3;6;10;12;22;0;4;4;2;1;3;1;2016-10-29;10;12;12;5;9;26;56;34;61;37;22;8;12;8;33;19;17;50;31;22;14;9;3.0;4;4;4;4;-33;33.0;10;8;4;10;4;-20;11;20;19;88;48;50.0;-1;-1;5;-75;5;-37;-16;26;13;18;21;17;13;12;13;5;13;14;74;43;30;17;39;18;5;7;29;4;35;50;30;17;4;-1;30;11;2;21;-5;-11;-14;-9;-5;-3;5;50;28.0;25.0;11;-2.0;5.0;1;12:00:00;0;LEI;TOT
WAT X HUL 2016-10-29;162 (76%);128 (69%);290 (73%);201 (80%);173 (77%);374 (79%);9;6;15;11;13;24;46%;46%;46%;54%;54%;54%;;;;;;;;;;;;;1;1;2;3;4;7;0;2;2;5;2;7;;;;;;;22;19;41;22;29;51;8;13;0;0;0;1;1;2;0;0;0;2;0;2;1;1;2;0;0;0;214;185;399;250;226;476;;;;;;;0;3;3;6;6;12;3;1;4;10;6;16;1;1;2;0;0;0;5;0;5;7;5;12;5;3;8;13;10;23;0;2;2;0;1;1;0;2016-10-29;10;24;56;32;27;20;13;-8;-3;-5;-6;21;-46;-46;-23;-10;-2;5;1;-3;-16;-9;18.0;26;3;-18;-9;29;10.0;25;14;43;23;92;19;9;5;30;73;38;-25.0;-12;-8;-6;19;90;-37;-17;-56;-35;-28;-10;-7;24;17;14;55;7;58;31;15;16;11;5;10;3;3;34;14;46;29;49;46;29;21;14;3;3;22;3;4;-2;4;41;28;20;40;18.0;3.0;9;-5.0;-50.0;1;12:00:00;1;HUL;WAT
WBA X MCI 2016-10-29;390 (91%);213 (86%);603 (89%);85 (70%);135 (84%);220 (78%);7;3;10;3;5;8;78%;60%;70%;22%;40%;30%;;;;;;;;;;;;;2;7;9;1;0;1;4;3;7;0;1;1;;;;;;;25;23;48;13;25;38;10;17;0;1;1;3;0;3;0;0;0;0;1;1;3;0;3;2;1;3;427;248;675;121;160;281;;;;;;;5;7;12;2;4;6;3;1;4;1;6;7;6;2;8;0;1;1;6;3;9;0;3;3;11;10;21;2;7;9;1;2;3;2;2;4;4;2016-10-29;10;-40;-28;-21;-16;-13;-14;-13;-12;-17;-100;4;-100;-91;-56;-41;-91;-46;-15;-16;-70;-100;-7.0;-77;-50;-33;-43;-23;-51.0;-34;-43;-32;-22;27;-14;-11;-8;-8;-12;-15;5.0;-8;-7;-7;-1;-47;-28;-18;-27;-18;-23;-13;34;9;3;1;-25;3;-1;-1;9;1;-29;27;2;37;-24;-21;-39;-27;-19;22;10;28;16;19;40;24;-5;-75;-35;-20;-8;6;1;51;26;11.0;1.0;-15;-5.0;-75.0;0;12:00:00;-1;MCI;WBA
CRY X LIV 2016-10-29;226 (79%);173 (75%);399 (77%);133 (69%);171 (76%);304 (73%);9;10;19;17;15;32;61%;51%;56%;39%;49%;44%;;;;;;;;;;;;;2;0;2;0;0;0;3;0;3;0;3;3;;;;;;;30;36;66;38;38;76;5;15;0;4;4;2;4;6;2;0;2;0;0;0;1;0;1;2;2;4;286;232;518;192;225;417;;;;;;;9;4;13;2;4;6;4;1;5;0;1;1;5;5;10;2;4;6;2;2;4;0;1;1;11;6;17;2;5;7;0;2;2;0;1;1;4;2016-10-29;-6;-10;-7;-5;-4;-3;-3;-3;-78;-46;76;-8;-40;-10;-100;-80;-59;-38;-34;-13;-39;-25;-10.0;-41;-30;-18;39;58;37.0;32;13;-6;-78;-11;-84;-44;-29;-15;-1;-99;0.0;-63;-43;-31;-12;-7;66;80;51;54;32;-80;-40;-23;-13;43;-14;33;20;7;4;-34;-20;-11;-3;4;11;-14;8;6;-69;-31;-17;36;9;5;-5;-7;-10;-13;-54;-29;-14;-5;23;17;37;24.0;-33.0;-7;-10.0;5.0;2;14:30:00;-1;LIV;CRY
EVE X WES 2016-10-30;162 (81%);189 (87%);351 (84%);161 (79%);172 (83%);333 (81%);4;4;8;12;2;14;49%;53%;51%;51%;47%;49%;;;;;;;;;;;;;3;3;6;6;1;7;2;6;8;5;3;8;;;;;;;18;22;40;30;22;52;12;15;1;3;4;1;2;3;;;;;;;1;0;1;1;1;2;200;218;418;203;207;410;;;;;;;4;3;7;6;6;12;3;1;4;2;2;4;1;2;3;1;5;6;3;3;6;3;2;5;7;6;13;9;8;17;0;3;3;1;1;2;0;2016-10-30;10;-5;-7;-13;-40;-92;-82;-54;-1;-6;-4;9;-4;-4;-3;-30;-17;-9;31;16;57;35;9.0;-34;-8;-4;-7;4;30.0;42;51;27;63;9;37;25;12;2;-2;-6;0.0;-5;3;-27;23;14;82;93;59;40;31;16;10;1;25;12;6;5;-47;-32;-23;-8;-20;-8;-42;-28;-25;5;-37;-26;-77;-50;-21;-8;-12;68;34;14;5;-11;20;-6;-6;25;7;-31;-12;10.0;10.0;-4;54.0;60.0;2;11:30:00;1;WES;EVE
SOU X CHE 2016-10-30;131 (75%);194 (83%);325 (79%);241 (86%);167 (81%);408 (84%);9;7;16;10;8;18;39%;53%;46%;61%;47%;54%;;;;;;;;;;;;;2;0;2;2;1;3;1;2;3;6;1;7;;;;;;;31;38;69;33;31;64;16;13;1;0;1;2;3;5;0;0;0;0;1;1;0;0;0;1;1;2;175;234;409;279;207;486;;;;;;;4;5;9;4;2;6;0;4;4;5;1;6;3;4;7;1;0;1;1;3;4;4;0;4;5;8;13;8;2;10;;;;;;;2;2016-10-30;-10;-1;10;13;12;42;29;21;37;15;-7;5;-1;1;31;48;35;22;18;14;11;11;11.0;92;61;42;31;-28;-12.0;-9;-7;-9;-8;13;-10;-56;-39;-17;-45;-1;50.0;5;2;-31;-16;24;-5;-54;-27;-35;-21;-16;-79;-49;-29;-59;15;-29;-11;-5;-2;-40;-21;-7;-3;-1;37;-50;23;19;5;-51;-23;-7;12;6;5;20;-20;9;2;3;-3;-3;-5;-40;-32;-22.0;-20.0;-8;-19.0;-30.0;0;14:00:00;-1;CHE;SOU
STO X SWA 2016-10-31;162 (81%);185 (78%);347 (80%);133 (78%);134 (69%);267 (73%);15;12;27;9;7;16;54%;56%;55%;46%;44%;45%;;;;;;;;;;;;;3;1;4;4;1;5;2;2;4;3;3;6;;;;;;;23;29;52;33;26;59;14;7;1;1;2;2;3;5;0;1;1;3;0;3;0;1;1;0;2;2;199;236;435;171;193;364;;;;;;;4;4;8;4;7;11;2;2;4;4;4;8;3;3;6;2;2;4;4;2;6;6;1;7;8;6;14;10;7;17;0;0;0;0;2;2;1;2016-10-31;-9;-33;52;10;4;6;1;4;-7;-7;-10;-13;-12;-14;-2;6;9;42;17;-19;-4;-5;-7.0;-53;-33;-20;-24;-8;2.0;37;29;11;4;91;5;28;14;5;-4;-94;-30.0;-6;5;4;36;46;-33;-3;3;28;11;41;22;50;25;8;33;-35;31;1;-3;-3;2;3;-3;-28;-10;90;31;18;15;55;76;87;100;64;29;8;49;-33;-71;-44;-33;-21;-52;-30;-20;-8.0;-7.0;-84;-3.0;-60.0;3;18:00:00;1;SWA;STO
BOU X SUN 2016-11-05;102 (71%);61 (66%);163 (69%);227 (86%);237 (86%);464 (86%);8;6;14;4;3;7;35%;26%;31%;65%;74%;69%;;;;;;;;;;;;;4;1;5;0;5;5;1;1;2;2;10;12;;;;;;;30;25;55;17;39;56;17;14;3;3;6;1;1;2;0;0;0;0;1;1;1;1;2;1;0;1;143;92;235;263;274;537;0;1;1;0;0;0;4;2;6;4;12;16;0;0;0;2;8;10;2;2;4;4;3;7;2;1;3;2;4;6;6;3;9;6;16;22;1;3;4;2;1;3;2;2016-11-05;-10;21;16;100;97;54;29;14;28;20;11;6;5;-7;-4;-4;4;6;10;-35;42;15;6.0;9;6;4;74;-72;-13.0;-4;4;-1;8;3;-5;1;-5;-17;11;6;-5.0;11;14;-12;-8;7;-7;-4;-7;-3;1;-24;-17;-13;46;42;36;33;-35;11;6;65;69;100;66;100;74;34;100;72;34;25;21;-69;-30;26;4;2;27;7;4;-5;-6;12;10;47;65;45.0;52.0;23;77.0;120.0;1;13:00:00;-1;SUN;BOU
BUR X CRY 2016-11-05;188 (79%);212 (78%);400 (79%);129 (71%);85 (58%);214 (65%);12;15;27;12;8;20;58%;67%;62%;42%;33%;38%;;;;;;;;;;;;;1;3;4;1;0;1;4;3;7;2;2;4;0;0;0;0;2;2;27;32;59;24;33;57;12;11;0;3;3;3;0;3;0;1;1;0;0;0;2;1;3;1;2;3;237;271;508;181;147;328;;;;;;;5;3;8;3;6;9;3;4;7;1;5;6;3;2;5;3;4;7;2;6;8;2;3;5;7;9;16;5;9;14;0;2;2;1;0;1;2;2016-11-05;-10;-17;-18;9;-6;-4;28;7;-8;-5;-6;-25;-34;22;-24;-19;-14;-8;-9;-6;-6;-6;86.0;23;11;7;-20;-8;-41.0;-14;-2;8;32;87;16;-11;-6;-49;-28;-48;-5.0;-7;-10;43;30;27;46;22;8;26;53;62;33;16;39;17;19;4;-84;-51;-36;-53;-57;-34;-18;-8;3;-34;14;2;-7;-3;-2;-3;-41;-24;-14;10;-19;-5;36;-60;-56;-38;-26;-52;-35;-22.0;-17.0;-20;-5.0;85.0;3;13:00:00;1;CRY;BUR
MCI X MID 2016-11-05;59 (60%);122 (73%);181 (68%);307 (92%);247 (83%);554 (88%);7;7;14;10;6;16;22%;37%;29%;78%;63%;71%;;;;;;;;;;;;;0;1;1;6;1;7;0;2;2;8;0;8;;;;;;;21;33;54;30;32;62;15;7;6;0;6;0;2;2;0;0;0;1;0;1;0;2;2;3;2;5;98;168;266;335;297;632;;;;;;;0;3;3;12;2;14;0;1;1;6;5;11;0;3;3;7;0;7;0;2;2;7;4;11;0;5;5;19;6;25;1;2;3;0;1;1;1;2016-11-05;6;12;12;32;19;31;53;61;38;26;15;9;13;12;19;13;90;56;45;73;46;27;11.0;23;74;92;92;61;48.0;26;100;100;87;32;57;41;43;31;94;57;0.0;29;19;-37;-36;25;-26;-56;-36;-12;-4;2;13;7;3;-8;20;-35;-15;17;10;12;41;30;27;27;46;18;26;16;9;7;-23;-15;-7;-2;7;31;15;21;14;10;7;4;9;31;23;14.0;4.0;13;32.0;-75.0;1;13:00:00;0;MID;MCI
WES X STO 2016-11-05;133 (75%);134 (73%);267 (74%);206 (82%);204 (83%);410 (82%);10;11;21;10;11;21;42%;43%;42%;58%;57%;58%;;;;;;;;;;;;;1;0;1;0;1;1;1;3;4;2;4;6;;;;;;;23;27;50;27;29;56;10;11;1;1;2;1;2;3;;;;;;;1;0;1;2;2;4;177;184;361;252;246;498;;;;;;;4;2;6;1;5;6;4;3;7;3;3;6;1;3;4;1;1;2;2;4;6;3;1;4;6;6;12;4;5;9;0;1;1;1;3;4;1;2016-11-05;8;-5;5;16;9;4;2;-6;5;5;-25;12;-17;-14;-13;-12;-2;59;45;33;92;53;15.0;-37;-7;-6;-4;-28;-9.0;5;6;8;3;9;-4;-4;-1;-4;-1;6;-40.0;31;21;16;12;-25;10;7;17;13;-17;-47;-30;-15;-6;3;-9;45;35;-23;3;-3;28;96;61;39;31;-27;19;7;1;-4;-5;54;33;-77;-30;-14;-17;-8;-2;-17;29;5;-7;-46;-30;-24.0;-26.0;-11;-87.0;40.0;1;13:00:00;0;STO;WES
CHE X EVE 2016-11-05;168 (80%);212 (84%);380 (82%);288 (90%);328 (90%);616 (90%);9;9;18;7;1;8;40%;41%;40%;60%;59%;60%;;;;;;;;;;;;;0;0;0;1;6;7;0;2;2;2;2;4;;;;;;;25;24;49;33;34;67;16;5;0;4;4;0;0;0;0;0;0;1;0;1;1;0;1;0;2;2;211;252;463;319;366;685;;;;;;;0;1;1;7;8;15;0;1;1;5;0;5;0;0;0;3;6;9;0;0;0;2;4;6;0;1;1;9;12;21;2;1;3;0;0;0;0;2016-11-05;3;8;6;35;22;19;17;13;3;1;-1;3;75;100;69;35;14;-7;-6;7;-3;-3;4.0;-3;4;3;5;11;10.0;64;48;34;21;5;18;7;4;100;62;-12;60.0;23;1;-8;-27;5;-18;-6;12;15;16;15;21;94;51;26;5;21;18;10;11;57;39;100;77;42;17;5;6;-13;-63;-42;-31;-24;-13;6;6;14;6;15;39;64;43;24;18;13;9;9.0;10.0;7;5.0;50.0;5;15:30:00;1;EVE;CHE
ARS X TOT 2016-11-06;240 (79%);155 (71%);395 (76%);152 (74%);146 (67%);298 (70%);11;6;17;6;13;19;60%;49%;55%;40%;51%;45%;;;;;;;;;;;;;0;0;0;2;2;4;0;2;2;1;6;7;;;;;;;29;26;55;26;35;61;17;11;1;1;2;0;2;2;0;1;1;1;0;1;0;1;1;7;0;7;303;219;522;205;218;423;;;;;;;2;5;7;3;5;8;3;4;7;4;5;9;0;3;3;1;1;2;1;2;3;5;3;8;3;7;10;7;8;15;1;1;2;0;1;1;1;2016-11-06;2;2;7;6;-3;-3;-4;-8;-10;-11;-11;8;-1;-6;-39;-23;-43;-25;-19;-13;-12;29;-6.0;11;-8;33;16;44;61.0;34;15;7;-8;-37;53;30;15;41;23;12;0.0;-2;-7;8;1;-24;-1;-1;-76;-45;-26;45;-36;5;-1;5;-16;25;16;-11;27;16;-24;-7;-2;-2;1;-7;-4;1;-4;43;30;15;-23;-10;-12;23;8;5;7;1;4;3;5;5;11;34.0;25.0;-9;14.0;-55.0;1;10:00:00;0;TOT;ARS
HUL X SOU 2016-11-06;302 (87%);236 (83%);538 (85%);162 (78%);66 (59%);228 (71%);9;16;25;9;6;15;62%;73%;67%;38%;27%;33%;;;;;;;;;;;;;1;6;7;0;0;0;2;8;10;0;1;1;;;;;;;20;31;51;21;26;47;15;13;0;0;0;3;3;6;0;1;1;0;0;0;1;0;1;0;1;1;347;284;631;207;112;319;;;;;;;4;9;13;1;3;4;1;4;5;1;3;4;4;3;7;0;2;2;2;4;6;0;2;2;6;13;19;1;5;6;1;4;5;0;0;0;1;2016-11-06;-3;-24;-20;-12;-24;-11;-7;-11;-14;-20;-9;-3;33;11;2;-5;-6;-11;-11;-11;-13;-15;-7.0;-2;7;8;9;10;10.0;-21;-13;-8;-4;-15;-2;1;1;1;1;-59;-65.0;-6;-48;-34;-40;-13;-24;-13;-34;-46;-32;-25;-18;-32;-21;-20;-7;-20;-10;92;48;100;56;29;7;-6;-11;-84;-12;-12;-12;-36;-25;-18;-9;-49;-36;-25;-51;-19;-45;-27;-25;-13;46;15;5;-4.0;-49.0;-31;-4.0;-55.0;2;12:15:00;1;SOU;HUL
LIV X WAT 2016-11-06;121 (68%);141 (71%);262 (69%);208 (79%);238 (79%);446 (79%);9;10;19;8;6;14;41%;41%;41%;59%;59%;59%;;;;;;;;;;;;;0;1;1;1;1;2;0;3;3;4;2;6;;;;;;;28;27;55;29;19;48;10;14;6;5;11;2;5;7;0;0;0;0;2;2;1;1;2;1;0;1;179;199;378;262;301;563;;;;;;;0;4;4;12;10;22;2;0;2;5;4;9;2;6;8;9;8;17;4;3;7;3;3;6;4;7;11;15;13;28;0;2;2;0;1;1;1;2016-11-06;-10;2;2;-4;41;20;12;13;37;18;85;-5;50;58;77;51;30;48;76;100;85;42;6.0;95;94;50;31;20;8.0;8;15;24;3;-30;2;1;-25;76;36;60;-15.0;-2;4;3;38;-10;21;11;5;-33;43;25;22;24;92;52;-1;30;97;57;29;14;6;-4;-2;-61;-36;10;-100;-62;-37;-17;-10;-45;-97;-33;-30;-8;48;10;18;51;33;20;13;34;23;15.0;11.0;34;43.0;200.0;6;12:15:00;1;WAT;LIV
SWA X MUN 2016-11-06;413 (92%);282 (90%);695 (91%);183 (80%);183 (83%);366 (82%);9;7;16;5;5;10;67%;59%;63%;33%;41%;37%;;;;;;;;;;;;;1;0;1;1;2;3;0;0;0;0;2;2;;;;;;;24;32;56;20;30;50;16;9;;;;;;;;;;;;;0;1;1;0;0;0;448;314;762;229;220;449;;;;;;;6;1;7;0;2;2;4;1;5;0;2;2;3;0;3;0;1;1;2;0;2;1;3;4;8;1;9;1;5;6;0;2;2;0;0;0;3;2016-11-06;8;-9;-11;-12;-12;-12;-97;-64;-75;-45;-32;11;-18;-16;-87;-55;-35;-24;-17;-7;-7;-7;-39.0;-7;-7;-12;-10;-80;-46.0;-51;-29;-17;-4;-17;6;-7;-8;-12;-14;-37;-5.0;-28;-23;-20;-13;-8;-6;-4;4;-3;-3;-5;-5;-6;-6;-6;-4;-6;-6;-6;-6;-6;3;3;29;21;13;-1;82;49;27;16;10;1;1;26;-19;1;-5;-4;-2;6;2;26;16;9;-8;-13.0;-16.0;-6;-17.0;25.0;1;13:00:00;-1;MUN;SWA
LEI X WBA 2016-11-06;118 (66%);128 (72%);246 (69%);205 (73%);176 (73%);381 (73%);18;18;36;12;11;23;40%;43%;41%;60%;57%;59%;;;;;;;;;;;;;1;2;3;0;0;0;1;5;6;1;4;5;;;;;;;29;39;68;31;27;58;8;8;0;2;2;2;1;3;;;;;;;0;0;0;3;1;4;180;178;358;280;240;520;;;;;;;3;4;7;0;3;3;2;1;3;0;3;3;2;3;5;0;2;2;2;2;4;0;2;2;5;6;11;0;5;5;0;2;2;0;0;0;2;2016-11-06;-4;-4;-4;-4;-6;-7;-32;-27;-14;-6;-1;17;-1;5;10;8;7;2;3;4;9;12;9.0;6;12;14;-22;-4;4.0;3;4;7;6;-105;6;21;20;9;3;1;;-1;-1;-25;-3;-62;-24;-18;-19;-84;-66;51;43;22;14;5;-40;-1;44;22;12;11;32;21;18;13;5;-24;-23;-75;-39;-100;-66;-33;40;18;22;42;-10;28;21;75;47;29;20;19;10;14.0;21.0;5;17.0;-5.0;1;14:30:00;-1;WBA;LEI
MUN X ARS 2016-11-19;260 (83%);174 (73%);434 (79%);160 (77%);192 (81%);352 (79%);11;13;24;7;5;12;60%;50%;55%;40%;50%;45%;;;;;;;;;;;;;1;0;1;0;2;2;1;3;4;5;5;10;;;;;;;34;37;71;21;33;54;11;14;3;1;4;0;0;0;;;;;;;0;0;0;2;1;3;314;238;552;207;237;444;;;;;;;1;1;2;2;4;6;3;0;3;3;2;5;0;1;1;3;2;5;3;0;3;4;2;6;4;1;5;6;6;12;1;2;3;1;2;3;1;2016-11-19;10;-20;-14;-11;-4;-4;-4;-6;-3;17;10;11;3;-4;-3;-6;-37;-36;-25;-22;-25;-17;12.0;21;28;13;10;-9;5.0;5;28;87;47;13;-31;-3;4;104;53;23;;7;-27;-13;41;65;20;18;18;6;22;14;-24;-33;-13;-3;40;7;7;9;12;17;15;32;27;64;100;25;52;29;11;17;-6;-6;-9;-1;-4;3;-48;53;33;16;6;-4;-7;-8;-10;-11.0;-11.0;-22;-92.0;0.0;1;10:30:00;0;ARS;MUN
CRY X MCI 2016-11-19;192 (76%);145 (75%);337 (75%);87 (60%);77 (59%);164 (59%);11;8;19;9;11;20;64%;60%;62%;36%;40%;38%;;;;;;;;;;;;;0;1;1;1;1;2;2;5;7;0;2;2;;;;;;;29;30;59;35;35;70;15;12;0;1;1;0;1;1;;;;;;;0;1;1;0;1;1;254;193;447;146;130;276;;;;;;;2;6;8;1;5;6;1;4;5;2;2;4;1;3;4;0;2;2;0;2;2;2;0;2;2;8;10;3;5;8;0;2;2;0;1;1;2;2016-11-19;-9;-8;-47;-29;-12;-8;-10;5;-6;-8;-9;-14;-5;-3;25;6;-8;-3;-4;-1;-2;-2;;-3;-9;-17;18;-22;-5.0;-7;-8;-11;-9;-10;-81;-48;-33;-18;-9;6;0.0;-13;-14;-13;-33;-7;-24;-18;-15;-4;5;11;15;17;29;17;-7;4;1;-36;30;4;2;1;33;22;-16;-6;-6;-29;-49;-40;-93;-60;-40;-22;-18;-12;-11;-18;-52;-38;-47;-100;-60;-37;-22;-6.0;8.0;-9;5.0;10.0;1;13:00:00;-1;MCI;CRY
