game;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
NUR X MAI 01-09-2018;1;2018-09-01;3.0;-16;-13;-13;-3;-3;-21;49;25;10;19;1;17;5;2;-1;-12;-2;-89;-47;-3;12;-7;3;5;-3;-37;-23;27;2;-6;-6;-25;-18;36;4;34;22;16;4;;16;12;29;100;-11;57;40;48;43;22;27;19;65;41;39;34;23;19;34;21;79;100;71;32;25.0;4;65;-1;30;13;19;15;-18;87;62;39;-60;-43;-17;23;8;9;-42;-1;-18;-8;19.0;67;-25;-8.0;-17.0;1;11:30:00;0;;NUR
TSG X SCF 01-09-2018;1;2018-09-01;2.0;100;88;100;-85;62;20;18;16;34;-39;-2;-14;12;-9;-2;25;73;49;33;23;31;4;67;27;23;6;-2;-4;-39;-100;-55;-18;25;-12;-3;-10;-3;27;39;95.0;1;1;17;15;45;10;100;51;32;20;-54;-44;-11;-15;-12;32;-36;-17;12;6;99;43;61;37;20.0;3;58;-9;-3;26;-17;-54;-33;-31;38;18;11;31;71;49;28;12;12;1;9;8;4.0;1;18;-23.0;-3.0;3;11:30:00;1;SCF;TSG
AUG X BMG 01-09-2018;1;2018-09-01;1.0;-6;-4;-2;98;50;14;-13;14;46;52;-10;28;2;15;-6;-5;-7;13;7;30;18;-76;5;-6;-46;-41;-19;-15;14;27;17;7;-28;12;-15;-27;-14;29;68;-44.0;39;21;35;83;-19;38;72;39;17;18;17;32;50;28;20;18;60;64;23;11;-28;-46;-20;-3;-86.0;-52;18;-24;-15;-32;-18;-22;-16;-10;18;22;41;11;41;19;9;-8;40;13;7;-24;-13.0;-30;-6;-26.0;18.0;1;11:30:00;0;BMG;AUG
BLK X WOB 01-09-2018;3;2018-09-01;-10.0;-67;-43;-55;-32;-22;-73;-36;-36;42;12;60;64;27;15;13;31;58;59;55;15;-9;100;-5;-11;-9;-9;-6;31;-51;-24;-88;-57;63;-57;-100;-34;-57;-59;-62;10.0;-4;37;-33;10;40;5;3;11;37;17;-86;-45;-28;-7;7;61;-8;-87;-73;-37;-17;13;20;57;82.0;64;40;43;19;-35;-17;-34;-18;-8;11;63;46;-70;74;48;39;20;33;22;12;10;62.0;37;-37;60.0;93.0;1;11:30:00;-1;WOB;BLK
SGE X SVW 01-09-2018;2;2018-09-01;3.0;7;32;49;36;28;87;58;-68;25;8;4;3;-9;-1;-89;-30;-17;10;41;40;58;5;22;28;-57;-43;-9;-1;-11;-10;-14;-11;-8;-8;-5;20;2;-2;15;-12.0;10;8;6;24;46;14;10;7;5;78;47;27;44;74;42;18;22;-22;-10;-11;66;65;38;-24;-11.0;-20;4;-21;-19;-17;-84;-84;-28;-24;-55;-75;-32;5;-13;-36;-18;-45;-48;-46;-31;-25;-81.0;-39;11;-26.0;-149.0;1;11:30:00;-1;SVW;SGE
STU X BAY 01-09-2018;3;2018-09-01;12.0;-12;-16;-14;-100;-76;-51;-53;-38;-91;-100;-11;-100;-67;-44;-25;-43;-32;-20;-13;-9;-4;-41;-3;-3;-41;-81;-44;-8;-7;1;-81;-100;-35;-90;-94;-100;-100;-100;-47;-7.0;-7;-9;-50;-35;-8;-44;-86;-70;-100;-69;-50;-100;-100;-77;-48;33;-20;-7;-53;-32;-53;-25;-10;23;23.0;-20;-22;7;-6;-10;-12;-73;-100;-67;-100;-72;-38;-7;20;29;21;-14;-2;-4;-6;-29;-2.0;-5;-9;-39.0;;0;14:30:00;-1;BAY;STU
RBL X DUS 02-09-2018;1;2018-09-02;-12.0;-65;-7;-17;49;38;91;100;73;82;39;-28;26;24;17;66;31;35;25;5;-45;-14;-75;-9;-41;-38;-5;9;11;13;-11;34;59;-90;88;58;69;25;11;42;6.0;42;33;-75;-26;-54;-13;75;41;-46;-12;42;20;26;54;62;-27;54;80;53;61;69;61;82;53;;100;-100;100;100;100;100;94;53;28;19;-23;-2;-70;40;37;53;68;45;22;-22;13;30.0;-39;-43;-3.0;26.0;1;11:30:00;0;DUS;RBL
S04 X BCS 02-09-2018;2;2018-09-02;-10.0;-39;-21;73;30;100;-83;-6;-3;30;50;-17;44;26;9;6;3;-5;-7;-5;7;100;-3;99;76;52;45;33;-33;-10;-7;36;16;-1;28;15;18;7;3;-1;3.0;8;14;12;10;38;10;28;31;53;34;21;26;41;41;37;62;14;13;19;-12;2;-7;-10;-3;4.0;5;31;19;25;2;-3;-7;-5;13;8;7;10;2;-38;-23;-20;-4;3;10;51;40;26.0;25;-2;59.0;121.0;0;14:00:00;-1;BCS;S04
DOR X SGE 14-09-2018;1;2018-09-14;12.0;21;17;24;100;72;38;20;10;23;14;10;10;8;7;4;4;4;4;45;33;27;9;27;57;34;20;17;15;61;100;100;46;8;20;25;12;7;5;3;2.0;56;34;21;25;8;25;12;8;-25;-12;-7;-10;-6;10;13;17;13;14;33;50;25;5;-13;-59;-21.0;-89;-58;-61;-21;49;51;37;38;22;42;28;17;-55;-27;-9;-7;36;6;-30;-10;21;38.0;100;-27;83.0;-11.0;3;16:30:00;1;SGE;DOR
MAI X AUG 15-09-2018;1;2018-09-15;4.0;-18;26;9;5;5;-5;-6;-38;-82;-58;-11;-48;-30;28;64;22;20;20;20;6;57;39;42;76;44;56;31;15;35;18;44;29;54;21;14;14;12;98;56;-5.0;3;33;17;-13;37;-35;57;14;4;-30;-72;-49;-15;-8;-45;25;-82;-44;-90;-19;28;-43;-18;-30;-21.0;-9;10;28;-25;-9;-35;-12;-4;-2;3;4;11;-5;26;9;7;-11;-2;5;-2;50;15.0;94;-21;74.0;195.0;2;11:30:00;1;AUG;
BAY X BLK 15-09-2018;1;2018-09-15;2.0;100;68;44;29;19;16;15;13;12;12;6;85;55;25;21;19;44;33;28;83;52;-3;100;87;82;47;30;8;-20;-11;-4;3;7;6;12;15;16;17;8;126.0;27;31;34;45;11;62;45;45;42;28;55;38;49;34;35;-33;24;37;83;55;82;95;92;53;33.0;51;-7;74;64;36;29;19;11;7;44;59;33;18;-32;-3;-1;4;35;27;19;73;46.0;29;34;90.0;56.0;3;11:30:00;1;BLK;BAY
DUS X TSG 15-09-2018;1;2018-09-15;-10.0;-73;-47;-19;-18;-29;-29;-41;-31;-31;-22;-3;-18;-14;-33;-26;-67;-59;-32;-11;-14;50;-9;-57;-8;-32;-49;-40;-13;-40;-21;-9;-32;-32;-100;-97;-57;-24;46;26;18.0;13;1;-7;-14;-25;-30;-28;-60;-40;-10;-9;51;26;-29;-9;-20;-11;-14;-9;12;-18;-12;-19;-16;-30.0;-69;-17;-45;-45;-64;-43;-70;-70;-42;-36;-29;-32;-15;-91;-60;-73;-49;37;6;-34;-73;-32.0;37;-44;-4.0;-76.0;2;11:30:00;1;TSG;DUS
RBL X H96 15-09-2018;2;2018-09-15;-8.0;49;19;58;-100;-41;-22;35;33;27;-39;-19;-86;-58;-39;-27;-18;34;72;45;66;55;29;25;-13;-5;-45;-34;-21;-12;-3;-5;-1;2;-8;73;33;67;34;14;-62.0;-8;-4;-64;-35;-13;-17;-58;-26;-24;-55;-100;-69;-48;-32;-12;-16;-7;-21;-18;37;49;-68;-51;-39;-30.0;-19;-44;50;25;12;3;4;-13;-10;-10;13;-5;-33;19;11;-31;19;-5;26;-20;-4;-11.0;-31;-10;-35.0;-75.0;3;11:30:00;1;H96;RBL
WOB X BCS 15-09-2018;2;2018-09-15;10.0;3;-2;-2;14;12;7;14;17;-21;7;95;-1;-8;-25;-7;10;13;46;29;47;24;100;11;9;-12;-1;10;16;49;48;35;-25;100;-22;-7;6;4;-52;-28;;-18;-13;-9;46;79;12;6;2;-2;-44;-18;-21;-16;-40;-9;93;35;24;-27;5;10;7;21;21;-34.0;39;48;11;14;6;5;21;19;32;-22;7;54;23;79;78;53;36;48;83;49;71;84.0;49;10;49.0;40.0;2;11:30:00;0;BCS;WOB
BMG X S04 15-09-2018;1;2018-09-15;7.0;21;62;36;20;-20;-3;-10;-1;38;21;18;-15;-3;3;3;-10;-1;9;49;78;25;100;94;56;31;-73;-100;-82;-48;-45;50;24;70;35;-29;-4;-53;-43;-39;-6.0;-4;-5;-8;-14;49;-37;-32;-22;-52;-29;-6;-8;18;8;2;17;-36;-62;-92;-48;-51;-35;-45;-22;25.0;10;9;-9;11;8;4;51;42;34;70;63;-51;-5;-22;-17;-7;-11;-20;-71;-70;-39;-16.0;-75;18;4.0;-23.0;2;14:30:00;1;S04;BMG
SVW X NUR 16-09-2018;1;2018-09-16;-7.0;-40;-15;-9;47;31;25;50;23;4;-64;7;-58;-33;27;12;43;20;-17;77;41;12;7;47;30;5;-5;4;20;16;59;30;-33;21;34;20;14;39;62;41;;30;48;19;-12;25;-2;-2;-4;-9;-38;22;4;-2;5;-9;29;-34;34;10;9;13;8;-9;-13;16.0;-32;25;-56;-40;-46;-33;-62;-35;-14;-68;-41;-59;18;-41;49;11;50;26;-47;-23;28;3.0;-12;29;-15.0;-136.0;1;11:30:00;0;NUR;SVW
SCF X STU 16-09-2018;3;2018-09-16;-4.0;21;15;1;-10;-45;-94;-60;-39;-50;-33;40;-20;-68;-70;-36;-19;-6;-10;10;17;19;44;10;6;-5;2;18;7;-14;4;58;31;24;-21;-21;-38;-51;-65;-100;46.0;77;64;65;-80;-20;-57;-30;75;19;-29;-19;-100;-83;-47;-26;-30;-12;46;-46;-66;-27;30;4;6;-20.0;-12;-20;-8;-19;27;10;-96;-39;-2;55;43;49;55;52;25;95;24;8;-24;-46;-29;-4.0;5;23;-61.0;-143.0;3;14:00:00;0;STU;SCF
STU X DUS 21-09-2018;0;2018-09-21;3.0;21;11;6;2;-37;-32;-14;-19;37;20;6;52;75;51;-34;-1;-1;19;38;28;11;3;16;-43;-47;-38;-23;44;17;9;-26;-49;-6;-32;-22;54;8;-28;-9;;-14;-32;-18;44;-5;68;20;-89;-100;-100;-68;-20;26;82;58;4;65;63;12;-77;-55;-42;34;8;-33.0;15;-3;41;21;-19;-2;7;5;30;29;23;20;10;43;29;27;-82;-48;-13;9;-3;-90.0;-52;30;-21.0;-28.0;0;16:30:00;0;DUS;STU
NUR X H96 22-09-2018;0;2018-09-22;12.0;21;-41;-35;-18;-6;-7;-3;4;23;14;46;-16;3;17;32;16;100;58;-88;-47;-32;31;-5;1;11;7;5;94;62;100;94;42;13;19;12;8;86;58;40;27.0;25;14;30;24;11;-29;23;-15;-60;-81;-53;-91;-59;-18;17;7;41;25;31;31;32;17;27;13;-10.0;17;21;11;9;90;58;10;12;43;75;100;74;19;28;-24;-4;11;-7;-19;-35;-17;-6.0;5;35;17.0;98.0;2;11:30:00;1;H96;NUR
TSG X DOR 22-09-2018;1;2018-09-22;-10.0;-40;-31;-27;-100;-67;-12;-6;-3;5;5;9;55;43;31;19;24;41;19;16;56;57;-18;67;35;3;-6;-10;-25;-19;-16;15;5;-16;6;36;27;63;39;100;;69;40;24;52;-15;67;100;-93;26;3;8;16;21;-29;35;-9;84;71;35;8;-3;-48;-42;-25;-49.0;-30;13;-13;-20;13;3;2;2;-6;8;-8;11;-23;-6;-21;-18;23;-22;-90;-54;-50;-50.0;31;-55;31.0;42.0;1;11:30:00;0;DOR;TSG
AUG X SVW 22-09-2018;3;2018-09-22;6.0;72;-45;-38;-25;-17;-34;35;65;72;100;-3;82;47;52;66;29;11;7;71;7;17;-5;-51;-30;-27;-10;-31;-100;-84;-100;-75;-17;-7;-22;-7;9;25;17;15;148.0;11;9;98;94;5;53;35;23;64;53;9;10;7;-27;-42;-7;-11;-15;40;17;22;51;28;11;-7.0;-24;-33;-6;-6;-61;-47;-29;-24;-100;-56;-6;23;-9;24;28;16;7;-4;2;2;2;27.0;100;-2;-1.0;-27.0;2;11:30:00;-1;SVW;AUG
BCS X BMG 22-09-2018;2;2018-09-22;2.0;-1;44;27;28;15;13;31;42;31;14;2;-8;-17;-5;35;63;28;22;16;13;-6;3;-16;55;26;40;37;68;36;100;100;33;-28;13;-27;-48;-40;-84;-18;-8.0;40;27;24;20;60;50;53;62;35;20;-57;-18;22;22;43;32;60;7;-35;-25;20;-6;-34;-19;-70.0;-79;23;-34;-20;30;61;78;42;53;-32;-23;-62;4;-38;-32;-43;-68;-54;-59;-35;-40;-47.0;-62;-9;-100.0;19.0;4;11:30:00;1;BMG;BCS
WOB X SCF 22-09-2018;3;2018-09-22;10.0;-6;12;2;13;15;11;8;-14;8;0;14;52;13;-143;-56;-24;39;86;64;38;53;8;30;25;9;44;29;22;18;9;18;17;11;44;100;96;100;66;56;16.0;40;26;8;53;-12;32;-44;-87;-47;-31;-45;-11;23;6;27;41;21;100;73;52;-41;-34;-29;-45;-20.0;39;22;20;33;-37;-2;44;28;31;28;44;-44;-56;39;-86;-57;-28;-3;33;24;17;11.0;8;-22;62.0;105.0;1;11:30:00;-1;SCF;WOB
S04 X BAY 22-09-2018;2;2018-09-22;14.0;-78;-47;-22;-17;14;1;-10;36;51;23;12;8;-6;-100;-60;-23;-10;-57;-27;-20;-16;10;-38;-22;-32;-57;-37;-42;-28;-18;-11;-10;-34;-7;-7;-52;-67;-34;5;32.0;-8;-9;-13;-14;-100;-16;-41;-21;-18;34;6;-7;-7;18;26;-98;-17;-36;-20;26;-42;-95;-52;-75;-42.0;-32;-62;14;-1;-28;17;21;8;14;-16;-9;-89;-55;-58;-41;-28;-22;-49;-20;-56;-36;-22.0;27;-100;10.0;12.0;0;14:30:00;-1;BAY;S04
BLK X MAI 23-09-2018;0;2018-09-23;-9.0;-5;-7;7;51;61;36;11;9;4;5;-3;39;20;47;33;54;59;100;54;41;68;-4;57;100;69;62;62;41;14;21;64;45;-11;60;67;100;71;100;73;;-100;-40;-100;74;-7;2;-41;-19;-50;-48;-64;-100;-93;-66;-36;34;-14;-1;11;100;62;37;21;19;-13.0;-14;26;-7;-27;-82;-21;18;2;12;8;-5;-9;-34;-13;-25;-18;-50;-37;-73;-47;-38;-24.0;-17;14;-4.0;-129.0;1;11:30:00;1;;BLK
SGE X RBL 23-09-2018;1;2018-09-23;14.0;-59;-36;-18;52;32;39;-38;-12;-10;-8;34;6;3;3;15;45;24;21;100;78;100;24;100;100;63;21;-40;-20;-20;-39;-46;-44;55;-29;-19;-1;-3;-45;-31;;-28;-25;-17;-12;27;-9;-8;-8;-39;-100;-100;-81;-54;-32;-15;15;23;8;11;32;3;-37;-22;-26;-24.0;-51;-12;-31;-49;-83;-54;-38;-32;24;1;-9;6;-6;-2;9;34;44;32;13;6;7;7.0;74;-76;84.0;-3.0;1;14:00:00;0;RBL;SGE
SVW X BCS 25-09-2018;1;2018-09-25;-10.0;22;23;82;33;-32;-4;-32;34;2;7;-13;7;28;-19;25;54;35;41;16;-44;-26;-7;-53;42;3;9;10;13;9;10;55;24;8;8;-6;-50;-52;-45;-20;103.0;10;4;32;17;30;-35;-22;-11;-3;-69;-27;-32;-50;-31;-22;60;-18;-10;-36;-31;-25;-15;112;62;20.0;2;41;-2;-10;-7;-3;-2;-2;-2;33;5;-81;71;-46;35;-21;-27;-37;-17;-14;-2;30.0;50;48;21.0;-67.0;3;14:30:00;1;BCS;SVW
BAY X AUG 25-09-2018;1;2018-09-25;8.0;-2;62;68;44;4;-4;6;-2;1;5;-5;-29;-20;-12;-50;-18;-3;3;4;9;8;1;13;8;4;8;54;79;20;17;46;14;1;-19;13;76;100;100;100;;64;31;34;11;1;-24;76;45;-25;-3;-1;-12;-1;25;21;-22;50;39;24;14;22;12;8;66;10.0;-22;-8;-9;-43;-31;-11;10;7;59;65;38;-24;-46;1;-3;14;7;6;14;-15;-100;-74.0;-41;-33;3.0;28.0;1;16:30:00;0;AUG;BAY
SCF X S04 25-09-2018;0;2018-09-25;0.0;26;54;26;9;-6;-6;-12;-22;-14;40;2;26;10;-17;-9;-13;-28;-9;12;30;38;19;21;9;-50;-8;-9;-7;-7;-28;-21;-37;11;-36;-31;-70;-37;-28;-18;-26.0;0;-58;-6;37;-126;24;25;88;100;66;25;29;61;22;63;-25;-48;-13;-25;-43;-43;-27;-15;-7;-11.0;-3;-14;11;5;25;22;31;25;-30;-13;12;7;-3;-7;55;44;23;-94;-43;45;-37;-64.0;-34;17;-68.0;-28.0;1;16:30:00;1;S04;SCF
H96 X TSG 25-09-2018;3;2018-09-25;-10.0;9;2;3;38;-68;-65;-36;-9;8;7;-16;9;-31;42;18;83;42;50;26;19;9;-25;9;20;6;7;-14;6;48;8;-94;-76;-49;-75;-45;-22;-36;-22;-6;;21;9;12;-44;-30;-99;-56;-31;-14;-5;81;55;37;38;41;-14;32;18;-32;-2;-1;41;33;30;20.0;-45;-8;-19;24;8;-15;-17;-64;-21;56;62;48;36;35;-42;-14;-8;-9;8;-36;-14;10.0;16;19;24.0;147.0;1;16:30:00;-1;TSG;H96
DUS X BLK 26-09-2018;2;2018-09-26;1.0;34;36;9;-4;-4;-6;-8;-7;-2;5;-14;18;44;43;44;51;83;26;10;-10;-6;-10;-10;16;9;38;22;7;-33;-16;-10;-3;-27;-12;-7;-7;4;9;-10;-88.0;-9;-22;-16;-13;60;-95;-100;-85;-74;-46;-21;-10;-4;2;-9;24;16;-69;-1;24;15;1;16;9;6.0;65;56;46;-30;-8;-26;-25;-15;15;86;32;15;100;4;-24;-12;-11;55;32;21;18;21.0;32;49;100.0;80.0;1;14:30:00;-1;BLK;DUS
MAI X WOB 26-09-2018;0;2018-09-26;2.0;5;-4;-10;-11;-55;-66;-74;-50;-23;42;2;23;28;33;15;-44;-29;-51;-34;-1;18;3;7;-8;35;13;-63;-35;-24;-27;-43;-76;3;-76;-54;-30;-1;66;-12;-9.0;15;5;-18;-79;1;-45;-27;-15;-7;-54;-29;-20;-1;26;-51;68;36;40;31;58;45;26;6;48;34.0;23;50;26;11;-9;-7;-18;-15;49;-66;-23;-73;27;-49;-29;-13;-16;-38;27;-7;4;4.0;6;13;5.0;-128.0;0;16:30:00;0;WOB;
DOR X NUR 26-09-2018;0;2018-09-26;-2.0;98;62;51;100;31;18;25;21;13;-11;4;4;4;6;-6;-26;-7;16;47;4;17;11;45;32;22;100;67;29;-21;12;7;10;10;13;16;30;25;21;-3;65.0;19;1;3;-35;5;74;11;22;13;13;19;27;15;10;65;23;61;42;-28;6;8;8;12;16;17.0;83;13;49;21;18;31;49;100;94;62;42;28;13;56;32;19;40;64;33;90;50;32.0;97;14;62.0;;7;16:30:00;1;NUR;DOR
BMG X SGE 26-09-2018;1;2018-09-26;-10.0;62;12;-11;27;20;5;4;9;48;100;-4;22;-27;-72;-50;-19;-62;-31;-11;76;34;2;24;13;7;-1;-37;-19;-34;-18;17;-17;2;29;23;86;76;94;14;;32;21;13;-23;14;-13;-6;33;44;35;41;100;79;-67;-9;13;-17;-16;32;33;7;9;100;45;-27.0;-81;12;-61;-44;59;25;-83;-43;-26;-21;-13;-26;39;-28;-31;-21;-8;6;100;100;40;-31.0;-3;46;-9.0;-40.0;3;16:30:00;1;SGE;BMG
RBL X STU 26-09-2018;0;2018-09-26;-2.0;46;18;19;-14;-2;-6;-5;14;-26;-10;-3;-8;-7;-8;45;28;11;6;3;-35;-14;-53;13;24;54;91;60;70;41;11;-48;-27;-36;-60;-35;-20;33;2;88;175.0;-7;6;67;41;-20;30;22;26;14;61;35;7;-62;67;-44;27;37;16;-65;-33;-42;-27;-28;-35;-20.0;-9;2;-5;10;5;-13;-23;-14;14;-8;2;38;-6;22;71;78;27;26;19;11;27;26.0;19;-5;47.0;14.0;2;16:30:00;1;STU;RBL
