game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;both_score_No;both_score_Over;both_score_Under;both_score_Yes;data;double_chance_12;double_chance_1X;double_chance_X2;draw_no_bet_1;draw_no_bet_2;draw_no_bet_No;draw_no_bet_Yes;final_result_1;final_result_2;final_result_X;first_half_1;first_half_2;first_half_X;fl_both_score_No;fl_both_score_Over;fl_both_score_Under;fl_both_score_Yes;fl_double_chance_12;fl_double_chance_1X;fl_double_chance_X2;fl_draw_no_bet_1;fl_draw_no_bet_2;fl_draw_no_bet_No;fl_draw_no_bet_Yes;fl_final_result_1;fl_final_result_2;fl_final_result_X;fl_first_half_1;fl_first_half_2;fl_first_half_X;fl_total_goals_Over_0.5;fl_total_goals_Over_1.5;fl_total_goals_Over_2.5;fl_total_goals_Over_3.5;fl_total_goals_Over_4.5;fl_total_goals_Over_5.5;fl_total_goals_Under_0.5;fl_total_goals_Under_1.5;fl_total_goals_Under_2.5;fl_total_goals_Under_3.5;fl_total_goals_Under_4.5;fl_total_goals_Under_5.5;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home;total_goals_Over_0.5;total_goals_Over_1.5;total_goals_Over_2.5;total_goals_Over_3.5;total_goals_Over_4.5;total_goals_Over_5.5;total_goals_Under_0.5;total_goals_Under_1.5;total_goals_Under_2.5;total_goals_Under_3.5;total_goals_Under_4.5;total_goals_Under_5.5
BOT X CFC 2017-06-11;274 (77%);327 (80%);18;16;47%;53%;;;;;0;0;5;5;;;57;63;28;14;4;2;;;1;1;358;409;;;3;7;4;7;4;6;5;6;8;13;3;4;2;1.70;;;2.05;2017-06-11;1.36;1.29;1.80;1.44;2.63;;;2.05;3.80;3.20;2.88;4.33;2.00;False;;;True;False;True;True;False;False;;;False;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;True;10.0;-18.53;-11.6;31.2;15.18;-25.0;18.8;-32.2;-15.5;32.8;46.67;9.55;24.82;15.62;-26.53;-16.41;85.6;41.65;22.68;14.15;7.39;-3.27;11.88;-3.08;6.4;9.31;2.63;-33.0;-21.54;-16.28;-7.35;-6.35;32.8;14.26;-23.3;61.7;41.76;21.7;32.16;22.56;5.0;5.63;-8.2;-6.14;9.8;16.48;7.37;5.82;5.27;4.57;3.19;-73.8;-41.85;-23.77;-13.02;-11.64;-24.4;36.2;19.98;-30.6;-11.34;-1.53;34.93;87.97;48.88;-66.1;-28.49;-8.79;63.5;14.49;9.51;6.03;-4.53;7.8;9.94;43.55;23.9;12.21;-75.09;24.35;6.57;-2.33;4.5;27.02;19.25;16.49;14.68;13.09;10.66;-39.58;10.71;-20.0;2;12:00:00;0;CFC;BOT;1.10;1.44;2.50;4.50;11.00;23.00;7.00;2.63;1.50;1.18;1.05;1.01
AVA X FLA 2017-06-11;410 (78%);236 (72%);14;16;62%;38%;;;;;3;3;9;4;;;50;54;18;17;1;2;;;2;1;523;327;0;1;5;5;3;7;3;2;4;7;9;12;1;2;1;1.75;;;2.00;2017-06-11;1.33;1.80;1.29;2.50;1.50;;;3.60;2.05;3.40;4.33;2.88;2.00;False;;;True;False;True;True;False;False;;;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;True;-10.0;-8.0;-9.05;-1.38;-1.65;5.2;8.44;10.76;1.11;-3.13;-4.95;-9.68;26.87;7.39;-11.2;-9.8;-11.79;-37.21;-19.26;-33.22;-24.09;-18.66;26.27;-53.8;-28.57;-8.63;6.67;53.15;65.8;44.72;26.96;41.47;16.75;8.47;3.59;2.97;-3.73;-1.86;1.87;-8.13;25.0;26.87;-42.93;-15.43;-7.24;-9.2;-7.06;-9.56;-5.85;-6.99;-37.67;-24.95;-42.38;77.2;28.24;16.2;-4.43;-23.07;-88.87;-61.64;-19.49;-14.43;-9.94;-68.07;-59.72;-41.41;-29.03;-5.06;-21.67;-12.47;-12.88;-19.25;-18.03;-7.44;-1.15;2.93;-8.8;16.2;-4.56;23.7;15.07;4.94;-3.8;-10.13;-11.02;-10.44;-9.73;-4.3;-15.3;-7.03;-2.22;0.0;1;17:00:00;0;FLA;AVA;1.08;1.40;2.30;4.33;10.00;21.00;8.00;2.75;1.60;1.20;1.06;1.02
COR X SPO 2017-06-11;304 (79%);417 (85%);14;11;45%;55%;;;;;5;1;0;3;;;53;40;15;11;3;2;;;1;2;386;492;;;8;10;4;4;4;6;5;1;13;11;1;1;2;1.70;;;2.05;2017-06-11;1.36;1.25;1.85;1.36;3.00;;;1.95;4.20;3.20;2.63;4.75;2.00;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;10.0;22.06;15.35;5.53;5.53;5.53;5.53;5.53;15.53;-69.5;-30.62;10.4;-12.88;-2.34;-0.82;41.18;20.74;8.59;-28.33;-8.16;-1.56;14.67;10.63;8.23;11.67;7.82;5.54;3.53;9.12;17.08;11.05;7.47;5.34;45.77;7.16;92.86;91.18;50.17;25.79;11.05;;-14.04;-16.59;-15.13;-14.26;36.66;-13.74;-17.69;-4.91;-27.3;-10.62;59.9;42.79;29.95;24.55;-20.1;23.65;-13.05;-3.59;4.9;-2.13;73.73;42.08;-40.26;-9.9;-10.98;-12.21;94.73;-12.36;-4.62;-2.99;-39.58;-26.72;-18.69;-14.69;-12.32;-43.09;-29.18;58.41;-20.91;-15.96;-16.13;-8.62;-81.61;-10.01;-7.44;-5.68;-5.01;40.96;34.22;17.51;20.0;3;17:00:00;1;SPO;COR;1.10;1.44;2.40;4.33;10.00;21.00;7.50;2.63;1.53;1.20;1.06;1.02
PON X CHA 2017-06-11;372 (80%);170 (66%);17;19;66%;34%;;;;;5;0;6;1;0;2;42;58;22;8;0;4;1;0;2;3;467;257;;;11;3;5;2;7;3;6;2;17;5;4;2;2;1.80;;;1.95;2017-06-11;1.35;1.20;2.00;1.36;3.00;;;1.83;4.75;3.25;2.60;4.50;2.10;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;10.0;18.32;5.79;3.68;0.8;-53.74;-34.25;68.0;27.94;16.16;12.87;4.82;7.21;-12.17;-14.19;-45.39;-34.14;22.8;52.91;27.52;14.66;4.8;6.73;-75.46;-53.39;-36.87;-32.05;-24.19;-14.23;-13.52;-18.43;-15.98;-14.9;-6.13;-39.25;-29.8;-23.79;-25.58;-11.63;-6.48;-5.0;-5.19;-4.43;-25.65;-14.38;-4.86;-7.31;6.1;5.33;4.01;-20.93;-7.08;-5.6;-4.56;-3.57;-1.5;-2.24;-2.12;70.1;21.14;2.74;-4.9;-11.73;-17.09;-13.58;-47.24;-27.72;-4.44;-15.75;-9.0;-99.99;-100.0;-100.0;-100.0;-100.0;-74.91;-41.98;-22.78;-11.13;-5.99;-1.38;-0.83;-0.84;2.33;3.14;-12.67;-5.72;-22.74;-8.09;29.8;5.6;5.0;3;17:00:00;1;CHA;PON;1.08;1.36;2.10;3.75;9.00;19.00;8.50;3.00;1.70;1.25;1.07;1.02
VIT X CAM 2017-06-11;381 (79%);237 (67%);27;15;58%;42%;;;;;1;0;4;4;;;76;49;7;20;1;1;1;0;1;2;480;353;;;4;4;7;3;1;3;5;2;9;6;2;3;0;2.10;;;1.67;2017-06-11;1.34;1.48;1.55;1.83;1.83;;;2.55;2.70;3.30;3.20;3.20;2.20;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;True;True;False;False;False;False;False;False;True;True;True;True;-10.0;-23.05;-13.01;-7.72;-29.22;-15.74;-0.32;12.6;10.96;11.97;12.81;-10.65;11.75;80.75;47.44;27.64;15.7;8.69;-1.48;-1.96;-14.14;65.8;30.3;33.0;18.54;9.94;5.72;-2.65;-28.39;-18.69;-12.93;-14.5;-6.17;16.05;2.37;2.93;4.25;5.41;5.41;5.41;15.0;-13.0;-9.1;-13.58;-13.65;6.94;-13.69;-2.58;-6.71;-8.79;-10.23;-3.78;-90.69;-56.62;-31.36;-25.04;-7.6;-21.84;-9.63;-8.7;-13.51;-35.73;-23.94;71.8;29.91;13.69;5.53;1.6;-4.7;-6.03;-3.24;-1.58;-0.59;-5.0;-2.97;-26.77;20.0;-20.0;-5.26;-15.07;26.8;14.26;8.79;13.51;30.21;10.97;-15.0;-10.25;-11.6;-6.46;-13.52;10.0;2;17:00:00;1;CAM;VIT;1.05;1.25;1.80;3.00;6.00;13.00;11.00;3.75;2.00;1.36;1.13;1.04
CRU X ATG 2017-06-11;175 (66%);529 (85%);16;27;31%;69%;;;;;1;3;2;7;0;1;46;67;21;11;7;3;0;1;1;1;264;622;;;3;8;1;7;3;9;2;11;5;19;4;3;0;1.80;;;1.95;2017-06-11;1.20;1.08;3.20;1.13;6.00;;;1.36;8.50;4.75;1.83;7.00;2.50;True;;;False;True;True;False;True;False;;;True;False;False;False;False;True;True;True;False;False;False;False;False;False;True;True;True;True;0.0;30.61;24.79;19.88;71.96;44.42;26.59;21.48;16.31;9.15;49.23;-2.4;-43.0;-6.79;-2.4;1.93;7.3;27.97;23.36;20.61;18.98;10.14;2.6;6.47;30.44;21.24;15.77;73.07;1.94;7.73;11.54;14.33;-28.26;8.3;-9.74;51.74;33.14;45.87;31.11;20.11;5.0;57.31;37.77;24.67;48.74;12.53;33.05;25.19;18.87;35.11;2.53;4.65;5.54;26.45;17.38;19.97;15.05;15.07;12.17;6.22;79.17;22.17;14.97;10.68;13.34;4.34;6.43;11.29;8.47;9.68;-35.2;-18.57;39.4;55.82;35.33;26.12;43.07;30.18;8.68;92.52;57.32;36.39;22.09;15.08;-37.5;-12.97;12.6;10.21;13.48;6.75;78.4;40.0;2;19:30:00;1;ATG;CRU;1.04;1.20;1.70;2.63;5.00;10.00;13.00;4.33;2.10;1.44;1.17;1.06
CAP X SAN 2017-06-11;303 (77%);402 (81%);14;21;44%;56%;;;;;1;9;4;7;2;0;54;51;12;15;2;3;;;3;2;391;495;1;0;3;8;4;5;5;2;7;8;10;16;2;1;2;1.70;;;2.05;2017-06-11;1.36;1.25;1.85;1.40;2.75;;;1.95;4.20;3.20;2.75;4.50;2.00;True;;;False;True;False;True;False;True;;;False;True;False;False;True;False;True;True;False;False;False;False;False;False;True;True;True;True;-1.8;-5.6;-19.97;-23.2;-15.13;24.0;13.58;10.9;8.56;6.57;3.52;-2.87;3.2;-13.2;-5.08;6.0;12.6;7.59;5.69;3.45;-79.8;-35.11;39.8;-16.84;-5.97;4.05;10.27;30.9;23.77;72.73;-86.1;-24.84;-15.56;16.45;61.12;27.33;3.77;-5.4;-2.41;-46.37;-25.0;-24.46;-6.14;7.0;2.54;8.58;34.79;-29.72;-5.75;-3.66;7.7;8.72;12.96;13.26;8.43;5.01;-16.2;2.98;1.93;-1.87;-2.59;-8.45;23.8;14.89;12.79;6.54;7.6;28.6;0.95;-36.8;-23.79;-17.66;-14.33;26.4;9.64;2.07;-3.8;-37.7;14.85;-25.98;-17.16;-16.92;-5.3;4.48;-20.52;14.48;2.34;8.26;11.77;3.69;15.73;5.0;0;20:00:00;-1;SAN;CAP;1.10;1.44;2.35;4.33;10.00;21.00;7.50;2.63;1.57;1.20;1.06;1.02
GRE X BAH 2017-06-12;276 (76%);558 (87%);12;8;36%;64%;;;;;2;7;4;11;;;64;58;16;15;4;3;;;0;2;361;643;;;3;5;2;6;3;5;4;13;7;18;1;0;0;1.75;;;2.00;2017-06-12;1.25;1.11;2.63;1.20;4.33;;;1.50;7.00;4.00;2.10;6.00;2.20;True;;;False;True;True;False;True;False;;;True;False;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;-10.0;-0.54;7.8;-7.2;-3.11;1.34;-7.07;-11.72;-13.5;9.0;19.68;-4.75;16.43;14.49;9.54;10.4;50.16;29.51;42.23;44.41;30.33;18.99;-41.62;16.99;38.95;41.02;63.37;36.65;55.67;36.92;-33.9;-10.55;-5.89;-21.74;60.33;16.82;22.52;18.36;75.9;59.64;-5.0;27.77;21.97;18.89;7.68;-6.93;4.44;4.57;8.54;0.9;6.69;10.13;12.18;13.02;8.94;5.77;21.5;3.89;2.77;2.1;2.1;2.1;32.1;19.94;7.7;4.83;3.13;37.18;-0.12;0.32;0.73;1.35;-9.06;-4.01;-1.47;0.94;0.94;2.15;32.19;2.45;22.62;14.62;9.86;12.03;8.3;100.0;58.33;35.83;14.84;-32.2;2.74;-30.0;1;21:00:00;1;BAH;GRE;1.06;1.30;2.00;3.40;7.00;15.00;10.00;3.40;1.80;1.30;1.10;1.03
ATG X AVA 2017-06-14;341 (77%);273 (72%);16;14;53%;47%;;;;;0;6;2;7;;;58;70;24;21;2;0;;;1;2;441;377;;;2;15;2;6;1;5;1;2;3;17;6;3;1;1.75;;;2.00;2017-06-14;1.34;1.20;1.95;1.36;3.00;;;1.85;4.50;3.30;2.60;4.75;2.05;False;;;True;True;True;False;True;False;;;True;False;False;True;False;False;True;True;True;True;False;False;False;False;False;False;True;True;-10.0;3.89;3.95;1.98;7.69;-28.67;-9.93;14.4;29.88;53.39;64.98;-8.55;11.5;8.57;6.04;5.04;4.81;8.98;-79.0;-37.72;-32.14;20.2;-7.68;-0.4;0.33;3.7;1.43;-3.55;-4.98;2.6;-2.05;-26.65;-16.16;-5.67;-9.92;-6.62;-9.34;-9.18;-5.95;24.47;100.0;15.11;6.99;2.17;-4.4;-4.47;-13.04;-10.45;-8.53;-7.4;-11.57;-0.98;5.2;5.84;61.46;100.0;-2.31;89.64;78.71;42.39;11.71;-8.55;-4.54;-8.17;-3.09;36.34;17.89;22.8;11.87;8.66;6.38;2.43;38.06;23.87;15.43;5.41;-24.05;-19.19;10.65;-15.56;-23.4;-22.28;26.36;5.52;-3.64;-3.64;-7.25;-12.6;-13.55;6.41;10.0;100.0;3;20:30:00;1;AVA;ATG;1.08;1.40;2.25;4.00;10.00;21.00;8.00;2.75;1.62;1.22;1.06;1.02
CAM X CAP 2017-06-14;148 (61%);429 (83%);21;18;32%;68%;;;;;1;12;6;12;;;53;56;10;11;3;1;1;1;4;2;243;514;1;0;5;8;3;9;2;3;1;16;6;24;6;2;1;1.80;;;1.95;2017-06-14;1.29;1.14;2.40;1.22;4.00;;;1.57;6.00;3.80;2.20;6.00;2.25;True;;;False;True;False;True;False;True;;;False;True;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;-1.0;5.16;9.53;11.35;26.35;60.5;32.2;17.17;3.24;-1.6;-5.65;-1.59;-0.23;2.87;10.05;57.3;40.78;48.63;38.3;27.19;17.36;35.83;-31.95;25.48;40.43;69.67;31.85;40.43;27.02;17.57;15.45;13.3;9.6;-13.99;8.88;28.46;63.19;64.22;31.92;16.93;-70.0;-11.8;-3.57;-2.14;1.98;30.0;2.8;9.52;7.49;6.29;25.57;17.04;19.84;16.88;35.12;24.48;-20.0;19.64;61.14;28.63;22.82;45.85;-28.2;-7.72;9.5;12.18;9.31;-13.71;57.13;33.7;63.83;1.74;-30.5;-31.89;-19.42;-10.36;9.5;1.22;-0.88;-9.6;-4.37;15.4;17.1;55.91;64.35;48.63;28.17;-49.6;-17.96;4.97;-7.54;10.0;0;20:30:00;-1;CAP;CAM;1.05;1.29;1.95;3.25;6.50;13.00;11.00;3.50;1.85;1.33;1.11;1.04
SPT X SPO 2017-06-14;264 (74%);377 (81%);13;11;43%;57%;;;;;1;3;1;5;;;59;54;14;21;3;1;;;3;1;355;465;;;6;5;5;1;1;3;1;2;7;7;1;1;0;1.95;;;1.80;2017-06-14;1.38;1.38;1.60;1.67;2.10;;;2.38;3.10;3.10;3.10;3.60;2.10;True;;;False;False;True;True;False;False;;;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;-10.0;4.97;-6.8;-4.87;5.0;-25.0;-5.3;-6.75;-17.84;-13.48;-3.66;-12.85;-0.37;2.58;33.18;25.91;11.62;3.12;-3.6;-3.72;-7.96;-4.76;-19.54;-7.86;-1.81;-3.45;2.6;-0.65;-0.65;-1.02;-1.08;34.35;39.32;-7.77;22.78;12.94;7.09;1.02;-1.48;-31.48;;-12.77;35.9;23.21;30.14;-0.77;-21.87;-3.3;-11.5;-0.3;7.0;3.86;41.33;23.98;12.64;5.69;-21.15;2.17;-2.9;-2.94;-4.4;-5.25;-5.75;6.13;27.89;22.92;2.51;-13.04;0.37;-1.55;-4.18;-4.26;-10.36;-9.73;-9.36;-0.07;5.46;4.29;-3.17;8.22;3.89;0.64;58.73;33.61;18.31;4.71;4.3;6.4;34.22;13.7;21.84;-100.0;0;20:30:00;0;SPO;SPT;1.07;1.33;2.08;3.75;8.00;17.00;9.00;3.25;1.73;1.25;1.08;1.02
VIT X BOT 2017-06-14;271 (72%);360 (79%);24;19;46%;54%;;;;;6;6;7;2;;;54;50;10;12;1;5;0;1;2;0;378;456;0;1;13;4;3;6;8;3;4;11;17;15;1;1;2;1.75;;;2.00;2017-06-14;1.38;1.33;1.67;1.57;2.25;;;2.25;3.40;3.10;3.10;4.00;2.00;False;;;True;False;True;True;False;False;;;False;False;True;False;True;False;True;True;True;True;False;False;False;False;False;False;True;True;7.8;-5.2;-4.49;-5.87;-6.7;31.4;14.46;1.84;-37.6;-15.57;-10.84;12.44;-5.55;-17.03;10.2;6.48;14.0;2.86;22.36;5.94;-26.6;-22.63;20.19;-15.98;-88.89;-48.26;-27.62;-73.53;-36.2;-13.43;-5.99;-1.2;5.88;41.01;6.5;7.24;-81.45;-37.59;-74.72;-52.28;35.0;-32.55;-14.5;-10.46;-3.54;30.98;78.8;49.32;32.71;-21.7;-2.89;-41.18;-83.32;-46.35;-27.5;-12.79;12.89;13.44;12.75;-58.07;-33.12;-3.02;4.6;0.42;49.16;34.06;15.66;7.13;5.64;0.05;-0.3;2.98;-22.02;-8.85;-2.03;77.98;48.27;33.31;3.34;17.68;-16.9;-62.16;37.56;2.57;-2.44;-12.44;-47.96;-16.23;-19.77;5.05;-55.77;-30.0;2;20:30:00;0;BOT;VIT;1.10;1.44;2.35;4.50;11.00;23.00;7.50;2.63;1.57;1.18;1.05;1.01
FLA X PON 2017-06-14;296 (78%);385 (81%);11;20;45%;55%;;;;;3;8;4;5;;;40;56;16;12;3;3;;;1;2;380;476;;;2;11;8;10;3;5;12;12;14;23;2;2;0;1.80;;;1.95;2017-06-14;1.25;1.17;2.50;1.22;4.00;;;1.55;5.75;4.00;2.10;6.00;2.30;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;True;True;False;False;False;False;False;False;True;True;True;True;3.8;13.57;16.8;9.86;-24.8;21.8;11.95;57.67;45.62;60.32;35.59;6.06;21.39;-14.3;76.0;41.45;25.54;12.53;16.12;36.53;23.65;12.98;7.4;1.91;5.37;0.57;-0.2;-5.0;-7.89;-5.44;4.6;5.43;8.2;8.2;39.88;20.94;19.31;-25.8;-4.86;-1.26;100.0;27.4;23.87;19.55;-36.56;8.68;-11.88;-5.66;5.0;5.34;35.89;18.88;8.77;7.64;47.52;59.38;28.68;33.81;-31.65;-17.07;-53.47;-88.87;-47.31;-20.38;-16.97;-7.71;-6.53;21.17;-20.28;-6.59;5.87;7.32;7.53;13.4;10.26;13.39;5.26;0.65;16.7;-32.46;32.73;10.02;8.86;48.16;26.83;14.32;-14.2;-31.2;-59.23;14.05;-38.7;-5.0;2;22:00:00;1;PON;FLA;1.05;1.29;1.85;3.25;6.00;13.00;11.00;3.50;1.95;1.33;1.13;1.04
CHA X VAS 2017-06-14;263 (73%);283 (78%);8;14;49%;51%;;;;;0;2;5;3;;;60;52;15;24;8;1;;;0;1;362;363;;;3;10;3;5;2;10;2;7;5;17;2;3;1;1.80;;;1.95;2017-06-14;1.29;1.20;2.15;1.30;3.40;;;1.73;4.75;3.60;2.40;5.00;2.20;False;;;True;True;True;False;True;False;;;True;False;False;False;False;True;True;True;True;False;False;False;False;False;False;True;True;True;10.0;10.5;6.82;43.09;22.05;15.3;16.65;13.08;7.99;12.93;10.6;38.35;8.85;8.13;36.6;23.16;15.54;15.01;19.69;10.13;6.67;100.0;30.2;57.45;31.74;17.21;8.58;-1.95;25.2;14.72;3.27;-5.6;-8.52;55.35;-13.34;-54.94;-100.0;-71.94;-38.37;-30.14;-20.0;-17.93;-2.02;5.9;8.23;35.51;11.57;13.24;51.51;28.94;20.52;20.49;96.8;59.37;45.46;96.25;-22.2;61.08;-45.5;79.5;48.61;31.54;16.61;11.46;-1.8;-2.91;-4.51;-4.9;-4.75;-9.89;-37.95;36.2;4.55;39.07;16.56;10.04;1.08;-2.2;33.6;-5.65;-7.55;-9.06;-29.95;-19.61;-28.47;28.03;-26.97;-16.91;-16.88;19.34;-10.74;-20.0;2;22:45:00;1;VAS;CHA;1.07;1.33;2.08;3.75;8.00;17.00;9.50;3.25;1.73;1.25;1.08;1.02
COR X CRU 2017-06-14;388 (83%);445 (83%);10;15;48%;52%;;;;;6;2;7;6;;;33;53;16;9;2;2;;;4;6;470;533;;;8;4;10;2;2;3;10;3;18;7;1;0;0;1.70;;;2.05;2017-06-14;1.33;1.20;2.05;1.33;3.25;;;1.80;4.75;3.40;2.60;5.00;2.05;True;;;False;True;True;False;True;False;;;True;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;10.0;-1.87;6.7;2.73;1.25;10.92;10.67;-50.2;-20.17;-0.79;-2.36;7.35;-2.93;-31.2;-24.83;-15.79;-9.5;57.0;38.9;24.65;15.67;15.33;5.77;10.88;12.42;38.71;34.34;64.07;46.75;33.42;18.63;15.9;11.85;6.43;12.04;12.37;12.95;12.95;100.0;61.28;5.0;34.32;18.28;3.65;-12.36;6.42;-9.45;-33.09;-57.15;-91.47;-56.85;-34.34;-19.06;-39.24;-19.72;89.3;8.08;50.61;29.44;19.08;8.04;-0.21;-3.81;-5.57;-6.62;-24.97;-11.25;9.7;-7.72;-10.62;-7.34;-9.46;-7.58;-6.09;3.32;-21.68;-21.21;-21.42;10.66;-51.54;-60.22;-48.52;-32.51;-26.17;-40.17;-33.1;-25.02;-30.95;-24.25;-11.8;-58.77;-65.0;1;22:45:00;1;CRU;COR;1.10;1.40;2.25;4.33;10.00;21.00;7.50;2.75;1.62;1.20;1.06;1.02
SAN X PAL 2017-06-14;403 (82%);318 (78%);12;15;55%;45%;;;;;4;2;7;10;;;50;58;14;16;4;6;1;0;3;2;490;406;;;5;6;6;2;6;5;11;3;16;9;3;1;0;1.95;;;1.80;2017-06-14;1.38;1.30;1.70;1.53;2.38;;;2.20;3.50;3.10;3.00;3.75;2.05;True;;;False;True;True;False;True;False;;;True;False;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;-0.6;-14.15;-7.46;-2.9;1.61;-6.4;-0.72;2.4;23.46;16.27;7.55;-0.96;-6.7;-8.3;-5.7;-2.67;-32.39;-20.16;20.47;5.74;-4.53;9.53;29.2;8.7;-7.07;-6.17;-7.43;-3.61;21.4;13.24;19.78;9.19;2.49;67.02;2.13;8.9;2.16;4.23;25.46;17.14;-45.0;11.77;9.33;7.5;4.93;40.45;11.84;10.95;50.42;35.22;16.18;12.44;10.6;-21.5;33.5;41.96;24.69;-26.53;8.47;4.3;-1.53;-4.52;-6.91;-15.94;-67.36;-27.94;62.48;7.53;25.28;8.34;-27.52;-14.26;-16.77;-13.43;-11.08;-13.19;-73.19;-48.77;-31.4;-34.26;-25.62;-20.13;-37.63;-31.71;-23.19;-18.13;-15.12;-13.52;-19.11;-25.41;-22.81;-90.0;1;22:45:00;1;PAL;SAN;1.08;1.33;2.10;3.75;8.00;17.00;8.50;3.25;1.70;1.25;1.08;1.02
CFC X BAH 2017-06-15;274 (75%);245 (76%);18;10;53%;47%;;;;;1;2;6;5;;;66;50;14;16;2;3;;;2;5;367;323;1;1;3;3;6;4;3;1;7;4;10;7;4;1;0;1.70;;;2.05;2017-06-15;1.33;1.20;2.00;1.33;3.25;;;1.83;4.50;3.40;2.63;4.75;2.00;True;;;False;False;True;True;False;False;;;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;-3.2;11.06;1.2;-9.0;7.4;-2.6;-4.07;-7.93;-24.95;-18.11;-18.31;-5.1;-13.42;-0.74;2.21;2.62;-35.8;-23.61;-33.35;-26.91;33.0;13.92;-31.23;4.76;9.02;35.69;20.97;44.58;23.88;10.95;16.39;-22.9;-7.51;32.0;-1.45;3.2;48.82;38.53;17.6;5.15;-5.0;14.03;10.96;7.14;5.82;7.38;5.04;-29.13;-20.62;-21.48;-19.16;-42.78;-18.57;-6.03;-2.77;-1.04;7.03;1.85;0.89;0.32;0.32;0.32;0.32;0.32;-39.86;-19.93;-8.19;11.81;-1.21;-5.06;0.67;0.77;0.85;0.9;21.53;13.42;13.6;-24.33;35.32;-9.07;-6.26;15.0;11.25;13.5;3.18;-4.8;-7.67;-9.73;-6.76;13.82;-94.26;-45.0;0;17:00:00;0;BAH;CFC;1.10;1.44;2.30;4.33;10.00;21.00;7.50;2.63;1.60;1.20;1.06;1.02
