game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Blocked shots_away;Blocked shots_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;both_score_No;both_score_Over;both_score_Under;both_score_Yes;data;double_chance_12;double_chance_1X;double_chance_X2;draw_no_bet_1;draw_no_bet_2;final_result_1;final_result_2;final_result_X;first_half_1;first_half_2;first_half_X;fl_both_score_No;fl_both_score_Over;fl_both_score_Under;fl_both_score_Yes;fl_double_chance_12;fl_double_chance_1X;fl_double_chance_X2;fl_draw_no_bet_1;fl_draw_no_bet_2;fl_final_result_1;fl_final_result_2;fl_final_result_X;fl_first_half_1;fl_first_half_2;fl_first_half_X;fl_total_goals_Over_0.5;fl_total_goals_Over_1.5;fl_total_goals_Over_2.5;fl_total_goals_Over_3.5;fl_total_goals_Over_4.5;fl_total_goals_Over_5.5;fl_total_goals_Under_0.5;fl_total_goals_Under_1.5;fl_total_goals_Under_2.5;fl_total_goals_Under_3.5;fl_total_goals_Under_4.5;fl_total_goals_Under_5.5;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home;total_goals_Over_0.5;total_goals_Over_1.5;total_goals_Over_2.5;total_goals_Over_3.5;total_goals_Over_4.5;total_goals_Over_5.5;total_goals_Under_0.5;total_goals_Under_1.5;total_goals_Under_2.5;total_goals_Under_3.5;total_goals_Under_4.5;total_goals_Under_5.5
COR X STA 2016-06-25;241 (71%);427 (80%);18;18;39%;61%;1;6;1;12;;;58;69;16;14;2;2;;;2;2;338;537;;;4;12;5;8;3;4;5;6;9;18;1;3;1;1.75;;;2.00;2016-06-25;1.22;1.11;2.80;1.14;5.50;1.44;7.00;4.33;2.00;6.50;2.38;False;;;True;True;True;False;True;False;True;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;-10.0;12.38;13.53;-19.6;35.4;37.61;24.57;-27.7;-4.31;67.3;40.45;-2.05;34.04;27.45;21.32;17.83;43.42;34.66;24.82;63.97;69.68;43.36;23.9;29.47;21.58;13.55;-19.33;-12.79;-7.26;6.7;47.59;60.33;35.19;15.69;-41.0;-11.46;-14.28;-9.76;-4.73;-29.0;;-6.18;6.0;12.49;50.55;11.53;36.54;20.24;5.91;-73.73;-39.17;56.27;76.57;43.04;35.3;24.75;9.8;14.77;-35.77;-14.12;-9.48;29.23;10.39;15.71;15.89;9.23;3.03;34.54;1.76;0.25;29.72;24.88;47.21;65.49;28.86;9.85;4.94;-15.37;29.76;19.63;5.15;3.07;26.48;19.94;8.45;3.1;-6.95;-8.45;-43.85;18.86;-29.53;10.0;2;22:00:00;1;STA;COR;1.05;1.25;1.85;3.25;6.00;13.00;11.00;3.75;1.95;1.33;1.13;1.04
AME X CAM 2016-06-26;263 (74%);385 (81%);8;11;43%;57%;1;5;4;2;;;51;50;17;19;4;3;1;0;5;3;354;476;;;5;6;2;8;4;4;2;11;7;17;3;3;1;1.80;;;1.95;2016-06-26;1.25;2.63;1.13;4.50;1.18;6.75;1.50;4.00;6.00;2.10;2.25;True;;;False;True;False;True;False;True;False;True;False;False;True;False;True;False;False;False;False;False;False;True;True;True;True;True;10.0;-16.6;-2.42;-3.8;-4.59;32.2;26.73;13.47;6.33;47.56;28.08;44.05;18.29;43.21;24.53;40.05;29.64;23.46;22.56;12.11;-6.4;2.0;54.29;4.28;-5.73;-3.01;-18.63;32.68;10.12;9.12;8.16;4.87;-1.27;30.08;3.73;0.84;4.3;1.65;25.08;9.56;0.0;-10.07;-12.93;-1.91;5.7;-72.2;5.68;7.77;9.02;8.59;9.61;-30.07;-9.98;14.0;8.36;8.6;-31.24;51.35;35.76;25.82;-34.4;-9.21;-6.15;-41.48;-22.49;-8.23;-2.49;-24.6;2.59;30.91;20.78;19.75;14.14;10.81;11.96;-42.41;-19.07;-8.94;-20.31;-3.98;-6.4;-4.12;-33.97;-21.72;33.67;6.2;7.61;5.52;-7.4;-8.52;-12.29;25.0;0;12:00:00;-1;CAM;AME;1.05;1.29;1.85;3.25;6.50;15.00;11.00;3.50;1.95;1.33;1.11;1.03
CAP X GRE 2016-06-26;394 (82%);357 (77%);13;19;52%;48%;3;2;7;6;;;37;60;16;12;10;1;;;3;4;480;461;1;0;2;7;3;4;1;12;5;11;7;18;0;1;0;;;;;2016-06-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10.0;13.4;33.68;28.17;56.18;32.55;26.96;11.53;-16.2;-9.95;-6.67;-6.42;6.9;8.44;48.02;32.04;2.51;76.18;9.98;3.03;-54.8;-30.22;-24.28;-18.36;-4.13;4.2;-5.8;-6.23;-9.89;42.73;9.14;8.6;9.94;-19.91;70.74;75.28;37.07;94.14;62.94;34.94;0.0;20.37;9.88;22.63;15.04;-5.84;34.07;30.39;23.98;100.0;100.0;76.39;37.93;25.41;6.65;-2.98;6.0;-3.13;-27.85;-23.29;53.51;22.28;11.86;7.53;-6.49;-14.75;40.13;-28.8;13.95;12.87;12.6;12.7;68.13;34.43;18.7;39.34;21.62;6.69;-14.82;-6.44;-2.51;-5.06;-4.34;-8.91;-11.26;-13.03;-9.08;-5.69;-3.31;-5.01;-6.89;10.0;2;17:00:00;1;GRE;CAP;;;;;;;;;;;;
FLA X FLU 2016-06-26;319 (80%);405 (80%);16;22;44%;56%;7;6;3;8;;;44;57;14;9;2;2;;;2;0;400;505;;;9;12;8;9;3;4;10;7;18;19;1;0;2;;;;;2016-06-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0;-13.47;7.4;27.55;14.87;10.59;9.17;91.77;46.33;26.45;19.38;8.75;5.19;-4.97;-4.09;-2.34;2.96;4.18;-37.04;-17.39;27.96;13.39;8.0;5.87;-36.87;-12.03;31.8;50.39;56.69;33.05;15.37;-8.8;-0.32;7.56;3.64;54.77;36.48;25.98;24.05;42.9;;80.39;44.65;23.41;-52.87;6.02;-20.39;-11.2;-34.64;-23.59;-18.29;-5.47;-2.85;6.6;85.36;90.76;29.37;47.93;30.04;14.0;-43.4;-50.77;-28.17;-15.26;-12.23;46.6;28.64;18.78;-43.4;-53.47;-29.13;-23.67;-12.09;7.11;-37.89;-52.82;-29.08;-15.33;12.49;-2.54;3.42;6.58;30.87;24.73;25.7;51.65;36.05;24.92;19.83;8.75;56.44;-15.0;1;17:00:00;-1;FLU;FLA;;;;;;;;;;;;
INT X BOT 2016-06-26;214 (72%);359 (80%);23;27;39%;61%;1;7;4;13;4;0;66;55;18;21;4;3;1;0;0;1;299;450;0;1;9;16;8;9;6;6;6;6;15;22;3;4;3;;;;;2016-06-26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.0;-45.01;-24.56;-10.71;-3.41;47.05;-47.3;-5.58;6.4;32.87;27.76;7.97;46.42;29.99;20.23;12.56;9.49;11.55;-27.13;-40.99;-23.18;-8.66;12.24;-10.41;5.33;28.14;21.96;62.99;44.93;28.45;42.16;26.6;39.01;14.78;-100.0;-21.76;-13.69;41.27;3.88;9.97;5.0;-15.0;-11.64;-9.99;-4.92;16.29;30.0;10.21;-7.0;-7.33;-1.66;22.7;16.43;9.62;30.57;23.5;21.81;-24.48;-2.05;25.52;13.19;-13.3;-4.97;-3.16;-13.58;-12.91;-6.49;2.4;70.2;-44.4;-81.54;-50.32;97.8;32.93;24.28;-23.6;-0.37;-21.09;3.07;-10.97;-0.23;3.02;3.09;9.25;26.79;16.85;51.32;51.81;91.73;-85.8;54.34;55.0;2;17:00:00;-1;BOT;INT;;;;;;;;;;;;
SAN X SPO 2016-06-26;236 (77%);490 (88%);9;10;37%;63%;0;2;10;4;;;42;51;14;8;3;5;0;1;0;1;305;558;1;0;4;5;3;3;5;6;4;6;8;11;4;2;0;1.80;;;1.95;2016-06-26;1.36;1.29;1.75;1.50;2.50;2.10;3.60;3.20;2.88;4.00;2.05;True;;;False;True;True;False;True;False;True;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;37.0;7.96;-54.6;-23.82;70.5;32.56;23.99;23.42;18.62;10.93;5.54;64.0;6.92;10.73;43.0;23.39;-51.8;-23.78;-15.66;-53.06;-31.21;-14.51;33.85;-28.35;-17.98;-8.85;-1.99;3.28;5.99;-76.72;-40.07;-20.97;-14.61;26.62;72.9;41.63;28.56;20.8;16.56;8.48;;8.73;-16.47;-3.66;43.53;62.33;32.64;22.67;18.23;-11.47;-3.68;-2.74;-1.81;-41.26;-23.6;-14.54;31.51;-4.15;9.5;6.64;3.04;0.95;-0.9;-2.0;-25.09;-13.79;-27.07;12.81;-39.97;-22.64;-10.62;-5.33;-0.7;2.42;2.42;2.42;2.42;2.42;5.13;-3.94;-20.41;-6.01;6.2;12.63;14.6;36.88;28.27;23.14;15.53;8.77;91.33;15.0;3;17:00:00;1;SPO;SAN;1.08;1.36;2.25;4.00;9.00;19.00;8.50;3.00;1.62;1.22;1.07;1.02
VIT X PON 2016-06-26;220 (69%);364 (78%);33;23;40%;60%;3;1;3;8;;;70;71;22;17;2;10;0;1;0;3;320;469;;;10;8;1;10;11;3;5;6;15;14;2;3;1;1.95;;;1.80;2016-06-26;1.35;1.29;1.80;1.44;2.63;2.05;3.75;3.25;2.75;4.33;2.10;False;;;True;False;True;True;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;True;3.2;-11.19;-6.98;19.8;9.98;-59.2;-0.78;38.8;20.13;-46.8;-9.95;-16.8;-1.74;11.4;34.13;63.37;36.8;39.0;34.94;26.18;11.22;10.3;-2.86;3.42;0.1;29.0;25.31;18.05;14.11;11.73;8.09;7.47;2.4;6.0;-1.8;6.2;4.28;8.9;17.03;50.99;50.0;60.58;41.66;26.3;16.79;-6.4;8.98;5.08;4.61;-77.98;-47.95;-26.64;-33.97;-18.33;-3.08;-4.59;-0.82;-4.21;3.67;0.01;4.55;7.39;9.04;9.65;10.39;40.39;38.22;2.46;81.94;53.65;31.83;16.63;9.08;1.24;0.62;4.51;1.82;-70.84;1.62;-87.35;-92.79;-69.02;-29.53;-5.84;11.45;31.33;71.16;42.99;18.28;-19.8;-51.8;25.0;1;17:00:00;0;PON;VIT;1.07;1.33;2.05;3.50;8.00;17.00;9.00;3.25;1.75;1.29;1.08;1.02
FIG X CFC 2016-06-26;282 (76%);256 (70%);17;17;50%;50%;4;0;3;4;;;54;68;23;19;3;4;1;0;4;4;370;368;;;6;4;8;5;4;3;10;4;16;8;4;3;0;1.70;;;2.05;2016-06-26;1.38;1.33;1.67;1.57;2.25;2.25;3.40;3.10;3.00;4.00;2.00;True;;;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;-2.0;15.86;10.2;44.0;21.44;8.4;6.59;5.51;-1.2;-26.34;-43.93;-3.19;-100.0;-76.59;-52.65;-34.15;-16.49;-5.77;7.7;35.87;27.48;14.54;-3.1;7.22;-31.67;-40.97;-26.71;38.08;16.48;15.23;14.68;12.87;12.52;-3.04;9.92;13.37;35.35;18.52;8.24;-37.2;-35.0;-13.29;11.6;7.74;3.56;3.6;8.68;33.47;16.89;27.4;14.23;41.03;26.52;60.2;38.73;16.46;64.81;0.61;-1.73;-11.02;-3.6;-3.37;-9.7;-8.84;-7.96;-48.17;-18.78;44.88;-5.83;4.73;-2.77;-7.77;-6.78;-47.15;-31.16;-21.09;-37.03;-46.88;31.07;-19.76;-17.27;-15.8;-8.26;3.12;3.12;0.21;3.67;5.36;-25.2;17.86;-13.66;40.0;0;19:30:00;0;CFC;FIG;1.10;1.44;2.50;4.50;11.00;23.00;7.00;2.63;1.50;1.18;1.05;1.01
SPT X CHA 2016-06-26;314 (82%);413 (84%);13;12;44%;56%;0;3;2;13;;;57;40;10;22;3;3;;;3;0;382;494;;;4;8;3;3;4;9;3;7;7;15;2;3;1;1.75;;;2.00;2016-06-26;1.30;1.18;2.15;1.29;3.50;1.73;5.00;3.50;2.40;5.00;2.10;False;;;True;True;True;False;True;False;True;False;False;True;False;False;True;True;True;True;True;True;False;False;False;False;False;False;-10.0;42.14;100.0;61.71;57.89;31.45;13.5;-2.6;3.87;4.38;1.67;-3.02;0.53;4.86;1.95;40.22;16.6;36.72;20.8;11.72;0.24;3.57;-3.86;3.0;9.7;3.52;20.08;9.52;8.25;27.12;19.5;-16.8;28.2;-44.37;17.3;11.54;4.57;61.92;37.15;44.3;20.0;28.54;-72.57;-14.84;-6.57;-26.51;-3.14;6.4;14.38;36.78;21.59;100.0;46.34;100.0;58.3;34.58;-5.15;13.03;-32.0;-21.09;-14.53;73.0;42.87;32.47;19.05;16.08;3.2;4.87;0.62;14.09;92.46;53.69;31.05;-40.94;-26.06;-23.44;74.85;41.17;6.5;-30.15;4.85;5.6;23.0;14.99;-37.0;-12.73;-4.79;-1.56;3.0;11.99;-22.0;20.0;5;19:30:00;1;CHA;SPT;1.08;1.36;2.15;3.75;8.00;19.00;8.50;3.00;1.67;1.25;1.08;1.02
FLA X INT 2016-06-29;454 (83%);289 (77%);14;18;59%;41%;2;4;0;8;;;50;68;22;11;7;0;;;1;1;550;373;;;2;12;5;8;0;9;5;9;7;21;1;1;0;1.80;;;1.95;2016-06-29;1.34;1.29;1.80;1.50;2.50;2.05;3.60;3.30;2.88;4.00;2.10;True;;;False;True;True;False;True;False;True;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;10.0;-4.89;-4.89;3.4;3.95;-3.13;-3.34;36.87;26.98;16.49;100.0;5.15;100.0;66.43;41.55;16.86;-7.8;-14.97;-1.52;-10.57;-10.19;-9.96;2.26;-9.82;35.52;22.23;17.75;5.39;-5.5;-15.31;-15.91;-16.67;-41.4;0.54;-19.41;-5.28;-2.26;11.0;10.52;28.0;35.0;53.74;39.42;47.97;28.71;-2.14;15.78;6.95;18.7;4.37;-4.87;-6.26;20.13;3.74;2.72;-4.87;-3.96;-6.23;-35.2;-20.56;-42.24;-29.75;-12.33;56.4;71.9;41.38;16.37;-4.44;65.76;31.31;56.94;5.52;-8.6;-10.57;-9.61;-12.39;-33.84;-30.98;-4.72;58.5;2.76;-6.5;1.7;3.21;-0.74;2.86;15.91;13.06;56.37;-4.89;41.39;50.0;1;20:30:00;1;INT;FLA;1.08;1.36;2.15;4.00;9.00;19.00;8.50;3.00;1.67;1.22;1.07;1.02
GRE X SAN 2016-06-29;554 (85%);294 (78%);16;10;64%;36%;5;2;5;4;;;68;58;14;10;6;4;;;3;2;655;375;;;12;9;7;6;6;9;6;8;18;17;3;3;2;1.91;;;1.91;2016-06-29;1.36;1.29;1.75;1.53;2.38;2.10;3.60;3.20;2.88;4.00;2.05;False;;;True;True;True;False;True;False;True;False;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;-4.6;-32.78;-25.7;-21.5;-11.53;-9.29;-11.59;-13.01;-13.86;-24.62;-23.21;-7.33;-17.11;-13.48;-14.13;-13.77;-14.13;-12.43;-11.42;-10.61;-15.13;-12.81;100.0;-11.61;35.69;19.03;9.96;4.2;0.78;-4.23;-4.66;-4.55;-4.48;59.44;-4.44;7.07;9.94;-17.93;-8.37;68.55;5.0;50.91;-41.45;-24.33;-13.05;81.74;36.6;20.11;17.33;73.99;38.25;64.37;32.1;33.27;16.15;11.02;46.44;4.26;-25.4;-14.81;-14.28;-13.96;-100.0;-92.51;-54.97;-57.28;-33.66;25.46;-13.84;30.2;13.26;-29.8;15.2;27.52;14.52;9.01;7.97;4.01;-57.2;-4.6;-9.26;-12.33;-19.16;-93.22;-52.08;-22.46;-49.85;-25.56;-5.92;-37.22;88.2;5.0;3;20:30:00;1;SAN;GRE;1.08;1.36;2.15;4.00;9.00;19.00;8.50;3.00;1.67;1.22;1.07;1.02
VIT X SPT 2016-06-29;166 (64%);399 (85%);22;21;35%;65%;3;3;3;7;;;65;62;19;22;7;0;;;2;3;260;472;2;0;3;14;3;7;2;10;5;6;8;20;6;4;2;1.95;;;1.80;2016-06-29;1.34;1.42;1.60;1.67;2.10;2.38;2.90;3.30;3.10;3.60;2.10;False;;;True;True;True;False;True;False;True;False;False;False;False;True;True;True;True;True;True;False;False;False;False;False;False;True;10.0;22.66;19.27;9.56;67.67;35.17;50.9;23.67;6.82;-98.04;-55.94;15.82;-33.52;-17.5;14.0;16.2;10.98;22.88;19.96;17.22;16.16;12.77;14.27;49.63;37.3;24.33;16.62;52.27;30.49;20.14;19.41;29.05;-32.3;33.36;-5.51;5.5;30.17;21.15;29.5;55.33;100.0;21.49;9.58;4.36;1.4;19.03;-2.13;-5.57;-3.36;-7.04;-7.48;21.7;16.51;15.7;15.58;15.78;75.17;14.04;14.18;88.65;57.92;39.62;73.74;74.28;34.07;40.06;23.63;43.96;15.52;12.16;12.77;21.32;12.74;7.26;4.01;2.08;5.18;-98.55;40.78;-70.32;-40.36;-22.55;-12.34;1.45;3.31;33.31;18.6;34.85;24.51;28.59;18.37;25.0;3;20:30:00;1;SPT;VIT;1.07;1.33;2.08;3.75;8.00;17.00;9.00;3.25;1.73;1.25;1.08;1.02
CHA X CRU 2016-06-29;303 (76%);240 (71%);10;30;53%;47%;2;6;3;8;;;57;79;20;19;2;2;;;1;2;401;339;;;2;7;1;4;4;5;5;8;7;15;6;4;2;1.80;;;1.95;2016-06-29;1.38;1.53;1.44;1.91;1.80;2.80;2.60;3.10;3.40;3.25;2.05;False;;;True;True;True;False;True;False;True;False;False;False;False;True;True;True;True;True;True;False;False;False;False;False;False;True;-10.0;-28.68;-17.71;19.4;44.01;25.9;15.67;14.23;25.02;15.38;13.35;-10.95;17.15;8.23;1.96;6.54;100.0;65.05;37.6;34.27;20.96;17.19;-11.51;16.49;16.44;15.45;20.66;20.98;41.59;28.84;42.66;25.5;20.45;-16.84;10.96;7.18;83.33;42.87;-26.6;-13.2;-30.0;-12.81;-13.52;25.11;17.53;-9.21;11.44;42.27;30.24;14.71;6.97;2.74;-37.38;-27.4;-20.99;-9.09;-3.93;-7.03;-3.19;43.28;23.45;7.8;-5.9;-1.97;-0.82;3.57;0.92;3.4;74.55;43.0;23.87;7.49;-4.87;-5.52;-33.04;-17.27;-12.52;-9.81;-71.2;22.27;4.26;-2.73;-7.47;-6.68;-83.08;-76.27;-47.59;-5.19;-5.36;-39.06;75.12;-30.0;3;22:00:00;1;CRU;CHA;1.08;1.40;2.25;4.00;10.00;21.00;8.00;2.75;1.62;1.22;1.06;1.02
CFC X CAP 2016-06-29;235 (70%);250 (72%);23;16;49%;51%;1;2;3;7;;;57;48;16;22;2;2;;;2;2;336;345;;;5;8;5;7;2;3;3;4;8;12;2;3;0;1.75;;;2.00;2016-06-29;1.38;1.34;1.62;1.62;2.20;2.30;3.30;3.10;3.10;4.00;2.00;True;;;False;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;10.0;23.4;9.54;9.21;6.02;-9.4;5.6;4.33;0.66;7.95;18.02;6.99;10.5;11.18;41.96;26.77;17.37;17.7;12.53;7.22;6.51;1.08;5.19;2.48;3.69;64.41;40.5;-27.61;2.39;2.39;-0.85;1.07;-3.93;4.13;-0.09;5.2;52.98;29.62;21.1;10.66;-40.0;11.26;8.26;2.32;-2.73;-3.96;12.27;-19.6;-12.83;-8.56;-6.01;-5.62;-23.01;-14.47;-9.65;14.67;-0.6;10.11;12.25;3.9;-3.47;-5.19;-9.23;34.2;13.32;4.38;4.06;27.8;-89.6;-48.72;-18.28;-12.39;28.2;17.19;8.02;2.19;-1.8;36.0;16.89;26.16;100.0;96.08;55.86;29.13;15.48;-1.4;-3.2;-3.2;-3.2;-24.3;-3.2;-25.0;1;22:00:00;1;CAP;CFC;1.10;1.44;2.40;4.50;11.00;23.00;7.00;2.63;1.53;1.18;1.05;1.01
AME X COR 2016-06-29;297 (78%);450 (83%);14;21;42%;58%;0;3;4;8;;;49;47;13;10;4;2;;;2;3;381;539;;;8;8;4;7;4;4;0;6;8;14;1;2;2;1.80;;;1.95;2016-06-29;1.36;1.80;1.29;2.63;1.44;3.80;2.05;3.20;4.33;2.75;2.05;True;;;False;True;False;True;False;True;False;True;False;False;True;False;True;True;False;False;False;False;False;False;True;True;True;True;-3.4;-100.0;-58.22;-57.4;-1.69;5.4;4.4;-4.2;3.3;2.4;3.27;-5.42;2.92;2.72;-9.33;5.3;-34.7;-20.33;-6.84;54.6;28.06;17.26;-1.22;28.24;22.6;15.58;21.21;16.2;11.73;9.96;8.9;17.85;3.36;2.0;4.89;5.8;66.35;41.59;30.95;23.87;35.0;6.16;-2.5;-3.19;-3.79;-5.2;-11.18;-19.57;-6.32;5.2;11.23;14.71;72.15;46.95;86.97;55.39;19.8;36.82;51.69;61.68;53.52;32.76;17.95;6.91;0.59;-32.43;-20.78;5.0;-13.66;-9.43;-6.92;-1.72;15.08;13.6;-94.92;-41.38;-25.69;-57.47;-32.8;-35.63;-15.21;-10.87;-28.69;-16.3;-11.91;-9.3;-7.75;-0.25;-7.3;37.27;-6.46;30.0;0;22:45:00;-1;COR;AME;1.08;1.40;2.25;4.00;10.00;21.00;8.00;2.75;1.62;1.22;1.06;1.02
SPO X FLU 2016-06-29;417 (82%);309 (81%);15;13;57%;43%;2;4;4;7;;;60;59;15;17;5;0;0;1;1;1;508;383;;;6;9;5;8;2;7;3;10;9;19;3;4;1;1.70;;;2.05;2016-06-29;1.33;1.22;1.95;1.36;3.00;1.85;4.33;3.40;2.60;4.75;2.05;False;;;True;True;True;False;True;False;True;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;10.0;60.93;53.99;19.97;10.1;4.01;28.0;13.09;6.7;2.53;1.17;8.95;-1.87;-1.47;34.52;24.71;21.43;59.47;27.93;11.57;-22.47;-12.43;100.0;-13.33;-9.84;-17.67;-16.04;-21.55;-17.23;-39.66;-27.29;-25.29;-32.53;67.4;27.52;89.79;56.24;36.67;50.69;36.5;0.0;38.97;18.71;6.67;-9.27;33.27;-9.04;25.95;7.46;-100.0;-65.37;-42.61;-31.31;-22.37;-0.9;-15.93;22.24;-4.47;9.7;2.17;-47.5;-29.9;-51.52;-34.75;-23.88;-14.07;-11.51;83.0;-7.76;-2.26;17.1;11.87;54.41;26.07;-51.53;-34.31;-25.57;-18.72;39.49;84.98;48.0;29.38;17.82;10.58;-0.05;-0.05;-0.05;44.98;26.71;24.26;15.86;5.0;2;22:45:00;1;FLU;SPO;1.10;1.44;2.30;4.33;10.00;21.00;7.50;2.63;1.60;1.20;1.06;1.02
PAL X FIG 2016-06-30;227 (75%);420 (82%);24;19;38%;62%;1;2;3;4;;;80;67;24;26;2;3;;;4;1;302;513;;;2;10;4;5;3;7;6;4;8;14;1;1;0;1.70;;;2.05;2016-06-30;1.20;1.07;3.20;1.10;7.00;1.36;9.00;4.50;1.91;7.00;2.38;True;;;False;True;True;False;True;False;True;False;False;True;False;False;True;True;True;True;False;False;False;False;False;False;True;True;2.0;32.82;23.02;5.4;-8.55;-9.39;-5.68;-9.06;34.4;20.98;-61.9;6.29;-29.85;-23.05;-12.66;-4.16;45.73;30.84;22.36;16.62;8.22;0.45;8.84;-16.2;-9.5;-5.52;-2.77;-1.16;-4.6;35.5;50.11;33.45;23.53;-5.6;28.02;12.7;8.96;49.56;68.69;49.32;-50.0;73.92;43.58;22.5;10.34;-12.4;10.35;31.51;17.41;9.03;12.88;19.79;17.54;100.0;67.99;46.27;-3.62;32.98;-40.6;-20.33;-13.16;-58.9;-36.5;-39.68;-49.55;-25.42;-7.35;3.9;29.0;30.25;23.91;20.32;18.19;15.06;14.31;3.21;21.43;23.19;100.0;19.23;21.88;-14.08;5.92;5.46;1.69;24.07;14.24;6.9;-11.4;60.41;-15.82;75.0;4;20:30:00;1;FIG;PAL;1.05;1.25;1.80;3.00;6.00;13.00;11.00;3.75;2.00;1.36;1.13;1.04
STA X PON 2016-06-30;248 (70%);349 (77%);13;20;44%;56%;2;2;0;8;;;52;59;16;15;5;1;1;0;2;4;355;453;;;9;4;7;2;4;5;4;5;13;9;1;2;3;1.91;;;1.91;2016-06-30;1.34;1.34;1.70;1.53;2.38;2.20;3.30;3.30;2.88;4.00;2.05;True;;;False;True;False;True;False;True;False;True;False;False;True;False;True;True;True;False;False;False;False;False;False;True;True;True;10.0;45.7;24.22;13.75;11.4;12.23;100.0;62.72;40.05;31.2;16.08;7.22;4.43;4.56;-72.87;-37.14;-16.64;15.27;8.61;16.2;14.91;5.88;10.56;8.09;5.12;-19.27;-13.32;-10.73;7.0;7.06;1.03;-4.6;5.33;-23.73;-69.67;-30.75;-18.74;-16.6;-17.17;-6.93;15.0;-10.14;-6.22;4.75;26.14;-9.58;15.43;9.32;5.31;2.55;-1.85;-2.61;-3.06;-2.16;4.64;6.76;23.6;3.77;7.0;49.65;29.63;17.73;11.03;6.68;11.05;17.0;10.56;13.51;-54.51;-28.24;-17.08;-40.44;-23.59;-4.49;-2.21;-0.86;-3.33;-34.35;25.97;36.67;8.31;3.84;1.45;2.27;-2.44;-27.44;-24.34;-17.49;-13.42;-36.6;61.9;-25.0;0;20:30:00;-1;PON;STA;1.08;1.36;2.15;3.75;9.00;19.00;8.50;3.00;1.67;1.25;1.07;1.02
