game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;both_score_No;both_score_Yes;data;double_chance_12;double_chance_1X;double_chance_X2;draw_no_bet_1;draw_no_bet_2;final_result_1;final_result_2;final_result_X;first_half_1;first_half_2;first_half_X;fl_both_score_No;fl_both_score_Yes;fl_double_chance_12;fl_double_chance_1X;fl_double_chance_X2;fl_draw_no_bet_1;fl_draw_no_bet_2;fl_final_result_1;fl_final_result_2;fl_final_result_X;fl_first_half_1;fl_first_half_2;fl_first_half_X;fl_total_goals_Over_0.5;fl_total_goals_Over_1.5;fl_total_goals_Over_2.5;fl_total_goals_Over_3.5;fl_total_goals_Over_4.5;fl_total_goals_Over_5.5;fl_total_goals_Under_0.5;fl_total_goals_Under_1.5;fl_total_goals_Under_2.5;fl_total_goals_Under_3.5;fl_total_goals_Under_4.5;fl_total_goals_Under_5.5;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home;total_goals_Over_0.5;total_goals_Over_1.5;total_goals_Over_2.5;total_goals_Over_3.5;total_goals_Over_4.5;total_goals_Over_5.5;total_goals_Under_0.5;total_goals_Under_1.5;total_goals_Under_2.5;total_goals_Under_3.5;total_goals_Under_4.5;total_goals_Under_5.5
PAR X FLU 2018-06-04;405 (83%);244 (76%);21;19;61%;39%;;;0;2;4;3;;;7;4;1;0;;;;;;;56;63;16;14;3;3;0;1;;;;;3;2;487;323;;;5;6;5;4;4;5;8;6;;;13;12;3;6;1;1.70;2.04;2018-06-04;1.37;1.44;1.48;1.83;1.83;3.00;2.45;3.10;3.50;3.50;1.95;False;True;True;True;False;True;False;True;False;False;False;False;True;True;True;True;False;False;False;False;False;False;True;True;True;-10.0;-15.26;18.6;1.71;-24.3;-41.61;-26.54;-19.29;-13.28;-8.22;-4.86;-11.35;2.87;11.04;0.12;2.15;-3.08;11.92;7.5;61.87;44.64;30.97;-7.15;30.13;12.57;8.04;0.99;2.08;42.5;52.85;25.87;10.42;0.86;-4.65;-7.82;6.8;37.26;19.94;20.04;20.1;5.0;17.25;13.32;13.91;10.09;15.2;-27.6;-11.22;-4.7;-1.89;71.33;40.01;17.51;4.13;-3.85;-10.04;8.34;-9.54;-29.07;-16.28;-8.84;-9.42;-4.77;-10.51;-10.74;-10.88;-10.59;0.56;-35.43;-19.47;35.9;10.89;-9.1;-59.1;-37.73;-33.1;-27.37;-18.6;-26.1;-9.67;37.0;16.31;-43.0;-22.23;-20.99;-18.23;-13.62;-32.9;37.0;-16.37;38.09;-100.0;2;21:00:00;1;FLU;PAR;1.10;1.44;2.40;5.00;11.00;23.00;7.00;2.62;1.53;1.16;1.05;1.01
SPO X INT 2018-06-05;348 (78%);305 (77%);21;21;52%;48%;1;0;1;0;2;2;;;3;6;;;;;;;;;89;71;8;30;3;3;;;;;;;1;0;449;397;;;5;2;8;4;3;3;8;7;;;13;9;2;4;0;1.66;2.10;2018-06-05;1.37;1.30;1.70;1.53;2.37;2.20;3.50;3.10;3.00;4.33;1.90;True;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;-10.0;-3.33;28.8;16.36;11.5;13.62;3.94;-0.3;-0.47;2.0;27.47;-12.95;-17.6;-3.14;-6.44;-8.58;-6.71;-2.68;-1.4;5.0;-7.2;4.2;-14.7;5.2;4.69;4.02;8.32;10.04;7.13;5.59;69.67;84.32;68.03;-16.34;37.54;19.41;28.8;9.11;49.26;41.29;0.0;-48.2;-38.79;-50.9;-29.02;-10.11;-13.53;8.33;47.35;28.58;-41.91;-47.27;-35.63;-26.31;-77.43;-69.83;39.6;-46.06;-21.07;-1.59;1.19;0.23;18.18;-27.47;-13.43;-10.27;-2.83;14.73;-4.9;-2.78;-8.38;-6.71;-6.13;-10.41;-12.96;-9.1;7.5;8.97;5.95;3.8;0.74;-2.04;2.96;-2.04;-42.89;-62.39;-68.98;-33.27;42.96;0.77;-42.04;-20.0;0;22:30:00;0;INT;SPO;1.11;1.50;2.60;5.00;13.00;26.00;6.50;2.50;1.47;1.16;1.04;1.01
BOT X CEA 2018-06-06;294 (81%);395 (85%);24;18;44%;56%;;;;;1;6;;;4;4;;;;;;;;;63;54;17;17;4;2;;;;;;;2;2;365;463;;;3;9;4;8;2;4;4;9;;;7;18;3;0;0;1.61;2.20;2018-06-06;1.29;1.14;2.30;1.22;4.00;1.61;6.00;3.60;2.25;6.00;2.10;True;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;5.0;8.34;6.35;8.06;38.84;22.44;8.02;-24.0;-16.64;31.0;15.04;6.37;13.33;58.71;34.86;23.02;17.99;-22.6;-6.82;4.07;4.07;-3.4;7.19;-3.8;-10.9;-9.31;-48.37;-6.03;-29.81;-8.57;-1.41;5.83;-11.4;7.67;-10.14;-13.66;-15.38;41.6;16.59;2.54;35.0;-14.1;-0.75;-5.09;-9.32;7.43;-11.51;-7.35;-0.61;9.2;10.01;6.04;8.3;-20.4;-3.16;11.9;6.92;-24.87;-6.55;55.13;39.73;26.62;6.55;7.4;34.18;19.16;5.6;6.73;9.01;9.92;-15.15;-12.11;-2.47;4.32;5.44;18.68;15.81;12.68;9.85;5.82;1.74;-1.43;-2.57;-3.2;-4.0;37.8;18.13;7.78;76.63;11.7;42.62;-25.0;0;20:30:00;0;CEA;BOT;1.08;1.40;2.25;4.00;9.00;21.00;8.00;2.75;1.61;1.22;1.07;1.01
VIT X CHA 2018-06-06;311 (77%);273 (74%);21;27;53%;47%;0;2;0;2;4;4;;;5;3;;;;;;;;;70;73;15;20;5;3;;;;;;;1;2;403;369;;;5;9;4;4;3;6;6;5;;;11;14;2;3;0;2.00;1.75;2018-06-06;1.30;1.28;1.85;1.44;2.62;1.95;3.80;3.50;2.62;4.33;2.20;True;False;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;7.0;-20.66;-8.02;-2.08;-9.89;-11.84;-16.47;-4.55;-2.24;10.6;68.93;11.16;64.39;-57.6;-7.38;-2.97;12.2;-5.0;-5.4;5.0;3.7;3.45;52.64;4.58;5.29;4.93;46.17;30.69;11.29;4.08;4.8;2.53;3.96;62.29;0.79;13.58;12.59;12.0;49.44;27.08;55.0;-32.47;-11.0;39.65;15.97;10.04;9.33;7.61;4.2;4.65;2.17;5.92;8.14;4.47;7.31;4.37;12.65;12.26;12.35;12.77;92.62;49.97;23.86;12.62;0.93;-46.96;-28.71;-12.0;-17.86;-36.7;-23.33;-12.78;-34.48;-22.39;-18.33;-12.72;-12.35;-10.27;-5.59;-10.89;-41.76;-20.48;-32.61;-19.82;-17.22;-13.38;-19.07;-15.99;-15.65;-4.83;-15.07;20.0;1;20:30:00;1;CHA;VIT;1.05;1.28;1.95;3.25;6.50;15.00;11.00;3.50;1.85;1.33;1.11;1.03
COR X SAN 2018-06-06;357 (85%);372 (88%);14;13;50%;50%;4;0;5;0;2;3;;;11;8;1;0;;;;;;;54;53;15;12;3;6;;;;;;;3;2;421;425;;;10;4;10;7;7;4;9;10;;;19;14;2;3;1;1.66;2.10;2018-06-06;1.36;1.25;1.83;1.40;2.75;2.00;4.00;3.20;2.75;4.75;1.95;False;True;False;True;True;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;True;True;True;True;-6.8;17.22;10.45;8.32;30.18;25.05;64.72;76.11;37.88;18.57;8.57;-3.34;-51.93;-38.06;-27.29;-13.95;-36.03;-20.43;-14.46;12.3;-5.8;-7.1;-1.29;-6.08;27.93;15.21;11.03;-28.45;-51.0;-55.4;-31.05;27.0;9.12;-0.07;-28.0;48.47;31.18;20.01;-22.47;-11.76;;-63.07;-20.22;-34.38;-20.87;-4.34;22.9;0.67;40.2;-30.2;-8.14;-17.14;-15.06;-26.34;-7.82;-7.76;27.6;-17.33;-13.39;-55.39;-60.65;-53.1;-27.86;-53.61;-27.0;-12.75;-0.03;17.32;-23.95;-35.2;-19.75;-20.57;100.0;18.67;-72.7;-23.37;-18.77;-19.59;37.65;-14.3;-60.63;-79.49;-39.38;-20.9;-9.55;7.47;40.87;27.84;20.47;24.6;11.09;5.0;1;22:00:00;0;SAN;COR;1.10;1.44;2.40;5.00;11.00;23.00;7.00;2.62;1.53;1.16;1.05;1.01
SPT X CAP 2018-06-06;503 (88%);226 (78%);21;10;67%;33%;0;1;0;1;3;1;;;6;1;;;;;;;;;51;41;20;13;2;3;;;;;;;2;0;573;291;;;7;3;4;6;3;3;3;7;;;10;10;4;2;0;1.95;1.80;2018-06-06;1.34;1.29;1.80;1.44;2.62;2.04;3.60;3.30;2.62;4.33;2.10;True;False;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;-3.2;34.91;3.76;-5.6;-13.97;31.4;8.82;1.84;-4.65;-5.64;-5.34;-5.1;-41.39;-19.26;-1.11;30.1;12.78;5.55;3.03;-32.0;-21.83;-3.42;-6.23;-5.77;60.9;23.94;10.84;2.28;-3.48;-9.09;-7.95;-5.41;-3.9;-6.91;-3.0;-2.46;-2.15;-2.15;4.06;8.77;35.0;80.48;43.12;20.91;12.93;-7.31;7.97;30.8;18.96;4.63;-12.0;-21.19;34.4;-30.6;-21.81;-43.08;-1.51;-50.45;-37.95;-0.69;5.01;-10.4;-5.54;-7.32;-30.24;-22.75;-17.18;2.2;-44.32;-35.45;-25.81;-26.57;-22.02;-17.08;-4.96;-2.96;-1.87;-11.6;2.15;-37.38;-28.53;-47.89;-39.37;-32.48;-16.89;-9.48;5.12;-39.88;-25.26;7.52;-43.43;-55.0;1;22:00:00;1;CAP;SPT;1.07;1.30;2.04;3.50;7.00;15.00;9.50;3.40;1.75;1.28;1.10;1.03
CRU X VAS 2018-06-06;197 (66%);457 (86%);19;24;34%;66%;0;2;0;3;0;6;;;1;12;;;;;;;;;51;63;14;8;2;2;1;0;;;;;3;1;297;533;;;1;14;2;9;3;3;4;4;;;5;18;1;1;1;1.50;2.50;2018-06-06;1.25;1.06;3.20;1.07;9.00;1.36;11.00;4.20;1.90;9.00;2.20;False;True;False;True;True;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;True;True;True;True;-2.0;73.12;36.07;15.21;4.38;7.81;3.2;5.24;-37.2;-16.98;27.0;-3.19;14.38;13.14;-78.4;-37.26;-20.89;28.27;13.05;17.79;14.53;12.6;-13.9;14.59;72.96;47.67;57.63;34.75;15.38;9.27;35.1;23.6;18.9;-8.21;16.51;19.38;16.4;36.48;39.82;31.81;10.0;89.97;59.77;40.32;29.4;-4.83;48.65;30.32;24.25;-28.27;-2.79;6.25;7.08;9.95;9.67;36.93;-2.67;53.14;100.0;64.09;45.48;18.89;8.08;-2.06;-1.84;-2.45;24.2;-6.39;19.94;13.01;28.9;48.34;28.04;17.32;9.67;3.63;9.45;-30.55;27.73;-22.08;-15.16;-11.04;-21.14;26.13;36.07;32.73;30.74;30.44;50.56;17.48;57.52;50.0;1;22:45:00;0;VAS;CRU;1.08;1.33;2.07;3.75;8.00;19.00;8.00;3.25;1.72;1.25;1.08;1.02
GRE X PAL 2018-06-06;338 (82%);376 (84%);15;14;48%;52%;0;1;1;1;2;5;;;7;5;1;0;;;;;;;57;84;30;13;5;1;2;1;;;;;1;0;414;449;;;5;7;4;4;3;5;4;7;;;9;14;5;2;2;1.66;2.10;2018-06-06;1.36;1.28;1.80;1.40;2.75;2.04;3.75;3.20;2.75;4.75;1.95;True;False;True;False;True;False;True;False;True;False;False;False;True;True;True;False;False;False;False;False;False;True;True;True;True;-10.0;-19.6;-3.26;4.2;4.2;31.61;28.65;20.12;5.25;68.21;34.38;-12.45;15.82;6.35;9.86;1.0;0.89;0.83;0.7;-26.2;-26.78;-16.39;-43.9;-10.21;39.53;34.64;60.5;35.07;24.96;10.97;-35.93;-21.88;-15.74;-53.7;32.2;11.6;7.7;2.77;4.93;3.61;;65.35;35.72;18.11;7.27;-31.13;3.8;-7.73;-19.45;-6.42;-0.05;3.53;6.02;15.5;14.65;4.58;-36.96;-3.87;-9.97;-4.97;-1.63;-18.92;-4.2;-0.08;-3.42;-75.4;-36.71;24.0;-20.57;-10.66;46.7;26.28;11.82;24.7;22.36;2.42;-7.4;-8.15;9.2;-11.17;-17.22;-33.54;26.15;0.54;-33.85;-18.57;-13.87;-84.79;-49.73;7.92;-26.65;0.0;0;22:45:00;-1;PAL;GRE;1.10;1.50;2.50;5.00;11.00;26.00;7.00;2.50;1.50;1.16;1.05;1.01
FLU X FLA 2018-06-07;315 (82%);353 (86%);23;13;48%;52%;;;2;0;1;3;;;7;10;1;0;;;;;;;79;56;7;16;3;6;;;;;;;1;0;383;409;;;4;9;0;5;8;3;5;2;;;9;11;2;5;2;1.70;2.04;2018-06-07;1.34;1.90;1.25;3.00;1.36;4.20;1.90;3.30;4.75;2.62;2.00;True;False;True;False;True;False;True;False;True;False;False;True;False;True;True;False;False;False;False;False;False;True;True;True;True;-2.4;-9.34;-9.81;-30.09;-47.75;-32.35;-47.82;-94.1;-55.14;-31.55;-14.45;27.6;-7.44;2.08;8.11;41.7;20.79;8.74;-6.8;-38.33;-28.6;-19.81;13.66;-89.58;-55.84;-33.54;-100.0;-73.61;-31.0;-6.24;6.96;16.11;26.94;6.22;18.2;-37.3;-9.59;-4.22;7.0;23.72;-5.0;98.72;85.01;52.24;37.39;1.8;56.73;23.78;18.27;12.25;-38.47;-20.0;41.53;18.87;12.63;27.65;-1.9;38.61;17.15;-27.72;-13.32;-1.44;7.76;11.08;16.41;17.72;7.63;-4.34;6.63;6.03;5.68;60.47;43.8;23.57;11.54;4.4;-3.94;-5.18;-4.34;-80.18;-52.63;-11.25;-11.65;11.88;5.66;20.63;7.67;1.82;0.6;-4.34;0.99;5.0;0;21:00:00;-1;FLA;FLU;1.10;1.40;2.35;4.33;10.00;21.00;7.50;2.75;1.57;1.20;1.06;1.01
PAR X BAH 2018-06-07;373 (82%);313 (76%);22;22;54%;46%;1;3;1;4;2;2;;;6;3;;;;;;;;;73;78;18;17;1;4;0;1;;;;;2;1;457;412;;;6;6;4;8;4;2;4;6;;;10;12;2;4;0;1.61;2.20;2018-06-07;1.41;1.37;1.55;1.66;2.10;2.50;3.10;2.90;3.40;4.00;1.90;True;False;True;True;False;True;False;True;False;False;False;False;True;True;False;False;False;False;;False;True;True;True;True;False;5.2;-0.34;4.8;2.56;1.34;0.59;50.17;37.27;25.77;13.94;-25.0;8.29;-33.63;-72.97;-46.65;-30.63;-17.85;-35.63;-83.36;-50.41;-50.82;-28.7;10.13;-20.3;-0.36;3.27;6.7;7.15;32.91;47.33;31.17;46.54;30.68;9.22;24.39;15.65;8.21;1.93;0.06;-1.43;-70.0;-18.29;-13.01;-9.87;-3.01;3.68;2.8;-22.2;-4.1;-6.93;-3.99;-7.24;-7.31;-9.59;-10.01;20.34;1.6;14.78;20.04;25.51;18.76;42.89;28.31;6.69;93.66;51.12;13.19;0.37;2.87;-4.73;-13.25;-27.69;-25.5;30.7;10.5;2.32;-4.3;7.72;-0.37;4.97;35.62;24.22;57.44;71.48;70.19;34.45;45.43;13.99;0.65;-0.46;-12.29;-10.0;1;21:00:00;1;BAH;PAR;1.12;1.53;2.70;5.50;13.00;;6.00;2.37;1.44;1.14;1.04;-1
AME X CAM 2018-06-07;421 (84%);358 (82%);16;14;53%;47%;1;0;3;1;3;9;29;11;6;11;2;0;3/13 (19%);7/25 (22%);2;9;10/19 (34%);12/17 (41%);52;43;7;13;2;1;;;13;10;34/65 (34%);32/47 (41%);1;3;504;434;;;8;8;5;5;4;3;4;9;11/14 (44%);8/11 (42%);12;17;2;2;3;1.80;1.95;2018-06-07;1.33;1.95;1.22;3.00;1.36;4.33;1.85;3.40;4.50;2.50;2.10;False;True;True;False;True;False;True;False;True;False;False;True;False;True;True;True;True;False;False;False;False;False;False;True;True;-10.0;-2.34;17.4;3.49;-85.8;-48.7;-53.89;-31.48;-16.44;-1.55;1.85;-5.75;-3.93;1.07;26.07;39.68;3.06;-10.4;-0.61;11.8;35.64;24.5;-3.22;17.14;20.26;4.17;-44.2;-30.54;-40.49;-17.05;-6.82;-27.97;-12.92;-1.71;-12.63;-44.29;-22.74;-27.7;-22.92;-19.34;0.0;-36.41;-19.53;-13.01;-9.87;-0.82;-8.01;-5.71;82.0;43.82;23.25;16.01;-29.67;30.33;2.92;-15.0;0.46;-2.9;-5.0;-24.94;65.0;27.43;12.22;3.91;30.1;9.34;-68.72;3.26;-40.83;-27.72;-22.15;36.28;25.11;21.3;40.69;37.22;22.18;30.49;4.92;22.14;15.57;17.78;20.24;15.58;13.8;1.4;38.66;15.78;-30.6;-12.2;-88.79;100.0;1;22:00:00;-1;CAM;AME;1.07;1.33;2.10;3.75;8.00;17.00;9.00;3.25;1.70;1.25;1.08;1.02
CAP X SPO 2018-06-09;250 (79%);437 (86%);26;12;39%;61%;0;1;1;1;0;4;;;3;5;;;;;;;;;68;53;18;15;5;2;;;;;;;3;1;318;509;;;3;4;6;5;3;5;6;10;;;9;14;3;3;1;1.80;1.95;2018-06-09;1.37;1.53;1.44;1.83;1.83;2.80;2.60;3.10;3.50;3.40;2.00;True;False;True;False;True;False;True;False;True;False;False;False;True;True;False;False;False;False;False;False;True;True;True;True;True;4.2;-4.39;4.4;10.28;14.07;14.06;14.6;14.56;65.76;36.43;19.0;6.7;8.63;2.48;-15.02;-1.57;4.53;6.93;13.81;6.72;25.66;15.92;8.18;35.13;21.18;18.77;10.51;1.78;-5.68;-48.65;-34.57;-26.23;-22.47;10.36;-25.2;-18.23;-6.8;3.65;9.2;50.02;30.0;35.03;-45.2;24.8;11.83;11.66;10.39;12.62;12.66;18.82;-31.87;-14.95;-13.29;-11.94;-37.17;-28.83;7.02;-12.25;-7.24;-74.27;-37.24;-21.52;-28.19;-16.8;4.95;6.47;10.17;6.06;23.64;15.73;-18.33;-29.37;-13.65;-5.05;9.29;44.31;32.37;23.22;-23.6;57.77;40.06;27.3;27.31;52.32;66.66;37.99;20.95;35.45;22.21;-5.68;-27.8;0.0;0;17:00:00;-1;SPO;CAP;1.08;1.40;2.25;4.00;9.00;19.00;8.00;2.75;1.61;1.22;1.07;1.02
CHA X CRU 2018-06-09;354 (82%);247 (73%);20;18;56%;44%;0;1;0;2;1;5;;;6;3;;;;;;;;;68;56;17;22;1;2;;;;;;;4;3;432;338;;;4;3;5;2;2;3;4;7;;;8;10;3;2;0;1.57;2.25;2018-06-09;1.37;1.70;1.30;2.37;1.53;3.50;2.20;3.10;4.33;3.10;1.90;True;False;True;True;False;True;False;True;False;False;False;False;True;True;True;False;False;False;;False;False;True;True;True;False;-10.0;-33.55;-45.25;-71.71;-40.91;-23.97;-7.41;-6.72;-10.26;-29.31;-15.63;-2.35;-7.27;-1.01;3.11;21.57;21.49;12.8;-29.8;-13.35;-9.07;-5.85;3.6;-8.29;5.8;12.62;10.69;4.54;10.53;13.3;9.57;13.25;10.54;24.91;8.24;6.88;-4.3;-5.11;-5.78;-11.17;0.0;-4.38;-4.84;-1.39;1.17;48.54;-3.83;-25.77;-43.96;-20.05;-1.71;10.3;1.76;-10.7;5.7;5.7;28.33;-3.15;-23.15;-11.12;-10.18;-13.88;-70.42;-42.55;-27.83;-13.71;-10.01;15.31;-3.71;-9.83;-13.47;-1.6;1.6;-9.7;-9.49;-9.76;-10.99;-3.36;-21.8;88.3;55.39;36.58;15.63;2.58;-11.5;-11.68;-11.79;-11.13;-15.74;-12.86;25.4;100.0;2;20:00:00;1;CRU;CHA;1.12;1.57;2.70;5.50;13.00;;6.00;2.25;1.44;1.14;1.04;-1
VAS X SPT 2018-06-09;462 (85%);305 (80%);30;11;60%;40%;0;2;0;5;5;1;;;2;1;;;;;;;;;81;37;10;27;4;1;;;;;;;4;1;546;382;;;9;8;6;5;2;7;5;5;;;13;13;3;4;2;1.75;2.00;2018-06-09;1.34;1.25;1.90;1.36;3.00;1.90;4.20;3.30;2.62;4.75;2.04;False;True;True;True;False;True;False;True;False;False;True;False;False;True;True;True;True;True;False;False;False;False;False;False;True;-10.0;19.4;6.3;4.13;-7.09;-9.54;-21.0;12.2;-9.2;-9.13;6.0;-10.62;32.67;29.52;22.13;17.37;2.68;7.4;25.56;5.78;-4.13;-4.18;-40.98;-37.73;-28.8;-15.97;-8.72;-4.41;-5.24;34.8;15.01;-9.0;-4.1;-59.03;-2.34;-4.27;-2.53;-1.13;-35.66;-21.47;80.0;-23.03;-10.27;8.4;-4.2;-56.9;-9.3;-48.96;-33.56;-27.78;-23.4;-11.43;31.8;28.93;79.83;40.1;-29.88;24.42;7.86;-9.29;-37.17;-25.8;-29.68;-26.62;-10.94;-0.13;-4.0;-22.62;-0.17;1.59;1.63;-4.2;-11.01;-85.82;-55.3;-37.15;-25.97;-18.96;37.0;-14.59;-12.56;-1.46;5.7;14.47;15.39;13.13;6.05;1.85;42.27;22.51;71.68;60.0;3;20:00:00;1;SPT;VAS;1.08;1.40;2.25;4.00;9.00;19.00;8.00;2.75;1.61;1.22;1.07;1.02
COR X VIT 2018-06-09;216 (75%);411 (82%);20;15;37%;63%;0;2;0;2;4;9;;;6;10;1;0;;;;;;;68;64;19;14;2;3;0;1;;;;;0;4;287;499;;;5;8;6;7;3;2;8;10;;;13;18;2;2;0;1.80;1.95;2018-06-09;1.30;1.20;2.04;1.33;3.25;1.80;4.50;3.50;2.50;4.75;2.10;True;False;False;True;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;True;True;True;True;True;-6.0;5.58;6.2;11.05;13.46;-28.4;-12.17;-7.46;-5.01;-3.55;27.0;-34.57;13.05;-43.0;-18.65;-8.79;-4.53;2.7;-25.87;-9.44;39.13;26.23;-17.35;22.79;42.87;37.58;25.71;21.06;18.24;34.21;14.82;-24.6;-34.73;-8.72;-15.71;-5.03;26.2;21.03;19.53;16.41;25.0;13.0;-16.3;-2.94;3.7;-3.58;4.25;0.95;6.32;-15.45;-2.84;4.55;2.94;-8.7;4.28;4.59;-0.09;6.67;13.15;57.74;90.34;64.72;44.49;35.33;61.92;32.2;17.87;6.85;-25.43;-10.22;20.1;6.5;-65.3;-94.92;-82.5;-26.64;-11.95;3.9;14.74;9.36;36.4;68.77;44.5;30.06;21.49;16.83;42.57;26.22;61.5;4.54;42.47;-5.0;0;22:00:00;0;VIT;COR;1.07;1.36;2.07;3.75;8.00;19.00;9.00;3.00;1.72;1.25;1.08;1.02
CAM X FLU 2018-06-10;417 (87%);442 (90%);5;5;50%;50%;1;1;2;3;4;1;21;19;7;4;;;9/23 (39%);3/20 (15%);7;7;13/24 (54%);14/23 (61%);49;46;9;15;4;2;2;2;9;16;27/45 (60%);33/51 (65%);0;3;479;493;;;9;11;7;6;4;9;6;5;10/16 (63%);13/18 (72%);15;16;2;2;2;1.75;2.00;2018-06-10;1.28;1.12;2.60;1.18;4.50;1.53;6.50;3.80;2.10;6.00;2.25;False;True;True;True;False;True;False;True;False;False;False;False;True;True;True;True;True;True;True;False;False;False;False;False;False;3.2;-18.64;-8.98;-3.72;-3.57;-24.56;-18.22;-10.97;-3.26;3.4;6.0;5.1;37.34;24.8;17.09;12.51;9.79;-4.0;-4.59;-30.52;-30.94;-10.39;11.23;-100.0;-54.15;-63.15;-37.8;32.0;85.42;48.22;29.05;53.69;40.88;11.88;20.21;8.5;31.54;-18.67;41.33;19.38;35.0;7.1;-4.7;-20.36;-70.48;12.26;-39.8;-21.48;-10.59;-2.96;14.18;30.12;20.92;15.45;12.2;4.53;3.85;4.03;5.12;30.77;11.02;29.65;88.34;48.23;82.53;43.29;17.74;5.45;11.59;18.52;13.17;14.62;15.48;-11.87;-29.58;-19.92;-14.18;-10.77;46.03;-12.39;-10.37;-6.03;-3.44;-1.91;5.0;2.97;76.77;20.64;7.27;0.58;-5.0;5.0;5;17:00:00;1;FLU;CAM;1.06;1.30;1.95;3.40;7.00;15.00;10.00;3.40;1.85;1.30;1.10;1.03
BAH X BOT 2018-06-10;245 (72%);383 (83%);20;19;41%;59%;0;2;2;3;1;9;;;1;13;;;;;;;;;72;64;9;24;6;2;;;;;;;0;3;340;463;1;0;2;13;6;3;5;9;10;8;;;12;21;4;4;3;1.80;1.95;2018-06-10;1.30;1.20;2.10;1.33;3.25;1.75;4.75;3.50;2.50;4.75;2.10;False;True;False;True;True;False;False;False;False;True;False;False;True;True;True;True;True;True;True;False;False;False;False;False;False;8.0;6.56;27.32;30.47;-72.4;-30.11;-20.86;-12.54;-5.51;-2.4;4.9;10.56;7.8;9.42;10.27;25.61;9.18;4.41;1.58;-0.68;5.8;4.98;7.08;40.01;5.04;4.25;3.4;-23.69;-14.41;-10.86;-35.23;-19.74;61.31;40.01;26.72;12.46;16.79;22.14;-17.75;-42.91;100.0;-25.14;-5.38;5.5;12.64;24.99;37.95;25.19;-77.37;-35.32;-19.15;-25.81;-18.21;-7.75;67.33;40.11;13.96;47.9;31.8;-36.87;-12.43;-4.49;-4.79;-13.48;7.8;29.07;19.5;7.57;-12.55;2.67;-2.55;-0.53;42.45;33.32;22.08;15.77;56.64;92.97;11.04;52.17;33.29;24.45;20.85;12.6;-70.16;-27.49;-10.6;-30.93;-12.66;3.1;6.1;100.0;3;17:00:00;0;BOT;BAH;1.08;1.36;2.14;3.75;8.00;19.00;8.50;3.00;1.66;1.25;1.08;1.02
