game;Accurate passes_away;Accurate passes_home;Aerials won_away;Aerials won_home;Ball possession_away;Ball possession_home;Big chances missed_away;Big chances missed_home;Big chances_away;Big chances_home;Blocked shots_away;Blocked shots_home;Clearances_away;Clearances_home;Corner kicks_away;Corner kicks_home;Counter attacks_away;Counter attacks_home;Crosses_away;Crosses_home;Dispossessed_away;Dispossessed_home;Dribbles_away;Dribbles_home;Duels won_away;Duels won_home;Fouls_away;Fouls_home;Goalkeeper saves_away;Goalkeeper saves_home;Hit woodwork_away;Hit woodwork_home;Interceptions_away;Interceptions_home;Long balls_away;Long balls_home;Offsides_away;Offsides_home;Passes_away;Passes_home;Red cards_away;Red cards_home;Shots inside box_away;Shots inside box_home;Shots off target_away;Shots off target_home;Shots on target_away;Shots on target_home;Shots outside box_away;Shots outside box_home;Tackles_away;Tackles_home;Total shots_away;Total shots_home;Yellow cards_away;Yellow cards_home;away_score;data;form_minute_1;form_minute_10;form_minute_11;form_minute_12;form_minute_13;form_minute_14;form_minute_15;form_minute_16;form_minute_17;form_minute_18;form_minute_19;form_minute_2;form_minute_20;form_minute_21;form_minute_22;form_minute_23;form_minute_24;form_minute_25;form_minute_26;form_minute_27;form_minute_28;form_minute_29;form_minute_3;form_minute_30;form_minute_31;form_minute_32;form_minute_33;form_minute_34;form_minute_35;form_minute_36;form_minute_37;form_minute_38;form_minute_39;form_minute_4;form_minute_40;form_minute_41;form_minute_42;form_minute_43;form_minute_44;form_minute_45;form_minute_45.5;form_minute_46;form_minute_47;form_minute_48;form_minute_49;form_minute_5;form_minute_50;form_minute_51;form_minute_52;form_minute_53;form_minute_54;form_minute_55;form_minute_56;form_minute_57;form_minute_58;form_minute_59;form_minute_6;form_minute_60;form_minute_61;form_minute_62;form_minute_63;form_minute_64;form_minute_65;form_minute_66;form_minute_67;form_minute_68;form_minute_69;form_minute_7;form_minute_70;form_minute_71;form_minute_72;form_minute_73;form_minute_74;form_minute_75;form_minute_76;form_minute_77;form_minute_78;form_minute_79;form_minute_8;form_minute_80;form_minute_81;form_minute_82;form_minute_83;form_minute_84;form_minute_85;form_minute_86;form_minute_87;form_minute_88;form_minute_89;form_minute_9;form_minute_90;form_minute_90.5;home_score;hora;result;team_away;team_home
CAR X NEW 2018-08-18;182 (60%);202 (64%);33;34;49%;51%;2;2;2;2;5;5;25;41;5;5;;;3/11 (27%);7/23 (30%);16;11;3/9 (33%);8/9 (89%);61;80;16;14;0;6;;;8;12;18/74 (24%);29/71 (41%);0;2;305;314;1;0;10;7;1;6;6;1;2;5;9/12 (75%);12/22 (55%);12;12;2;2;0;2018-08-18;-15;-2;21;-32;-52;-15;-7;-3;3;7;6;13;6;6;6;56;2;18;2;-6;-2;-12;17;10;24;10;-78;-21;-6;19;22;56;63;13;38;-50;-16;-11;-21;-49;69.0;-1;-14;-5;-3;17;19;30;41;-40;-3;40;24;20;13;11;9;23;14;13;-17;54;28;12;22;15;6;30;25;9;-12;-17;-3;-2;19;30;19;13;-36;11;-26;-66;-42;-28;-80;-70;-44;53;5;-12;-15.0;11.0;0;09:30:00;0;NEW;CAR
EVE X SOU 2018-08-18;185 (62%);313 (74%);31;22;42%;58%;1;1;2;3;5;3;23;18;5;2;;;3/16 (19%);5/19 (26%);15;7;4/7 (57%);8/12 (67%);54;68;20;8;5;3;1;0;13;14;21/76 (28%);24/69 (35%);3;2;299;423;;;9;9;6;3;4;7;6;4;5/11 (44%);10/18 (56%);15;13;5;0;1;2018-08-18;-1;30;-29;-12;-6;21;11;91;68;48;47;-11;68;75;-46;-2;-13;-53;-93;-62;-37;-19;-6;-2;5;91;52;12;-51;-16;-3;6;35;-24;31;29;32;22;15;61;22.0;-17;-6;-55;-35;-5;-17;-6;-1;6;-35;-95;-82;-29;23;35;54;34;25;39;18;6;-3;-3;-6;-26;-19;98;53;30;16;-36;-29;-28;-14;-8;4;-17;63;-12;-42;-21;45;63;38;22;11;10;10;50;30.0;35.0;2;12:00:00;1;SOU;EVE
LEI X WOL 2018-08-18;404 (81%);316 (83%);19;18;58%;42%;1;0;1;0;1;2;15;33;9;1;;;4/29 (14%);1/13 (8%);14;8;10/20 (50%);21/31 (68%);56;71;8;10;1;2;3;0;11;13;27/54 (50%);22/45 (49%);1;0;500;382;0;1;6;1;7;2;3;2;5;5;9/18 (50%);16/24 (67%);11;6;1;2;0;2018-08-18;-10;-10;7;11;9;6;6;5;-43;-27;-17;23;-11;-19;-75;-43;-24;-15;-8;-2;3;11;11;67;41;30;23;12;-4;4;-3;-3;-16;-27;-5;5;4;7;9;5;86.0;2;-12;-50;-22;-14;-11;-16;24;9;-10;-30;-14;-7;-18;-88;-100;-59;-41;-26;-16;-5;-3;-10;-24;-17;-9;-100;-33;-25;-60;-41;-31;-38;-30;-71;-55;-31;-85;-22;-77;-51;-35;-43;-36;-23;-80;-87;-55;-21;-5.0;56.0;2;12:00:00;1;WOL;LEI
TOT X FUL 2018-08-18;356 (82%);557 (89%);7;14;41%;59%;2;5;3;5;2;4;39;8;2;5;0;2;2/7 (29%);8/27 (30%);11;7;11/12 (92%);6/12 (50%);40;37;5;9;8;2;1;1;10;12;33/62 (53%);36/51 (71%);3;1;435;629;;;5;18;5;10;3;11;5;7;8/13 (62%);8/12 (67%);10;25;;;1;2018-08-18;1;27;91;62;69;93;60;47;62;39;24;39;18;33;15;42;29;33;50;30;42;24;43;2;-8;-69;-63;-8;15;62;45;32;26;25;-46;-30;38;15;100;-3;13.0;-11;-9;-51;-54;19;-33;51;6;-82;-38;-18;30;-49;-23;-14;52;-3;21;18;16;49;45;87;16;46;29;39;92;57;41;95;64;70;100;56;24;88;28;45;83;57;58;86;70;83;51;55;32;35;19.0;5.0;3;12:00:00;1;FUL;TOT
WES X BOU 2018-08-18;246 (77%);399 (81%);19;26;39%;61%;2;0;3;1;4;3;31;18;4;6;;;3/11 (27%);4/23 (17%);11;6;12/22 (55%);11/16 (69%);54;67;10;14;4;3;;;6;9;16/45 (36%);33/64 (52%);;;321;494;;;8;6;3;3;5;5;4;5;9/11 (82%);6/21 (29%);12;11;2;6;2;2018-08-18;-1;3;1;5;30;22;17;24;23;16;80;-1;53;43;72;82;87;51;31;87;-54;-1;-1;5;26;25;99;64;43;29;22;34;14;-100;-18;-8;-7;-30;-58;-47;-10.0;-55;-33;-60;-56;-65;-27;15;1;-3;32;17;-20;-5;-17;-5;-45;-2;-68;-39;-30;43;9;2;-79;-39;-28;-32;27;3;29;9;-20;-48;-32;-16;-15;-16;-18;-3;5;5;7;9;9;83;51;39;62;7;34.0;16.0;1;12:00:00;-1;BOU;WES
CHE X ARS 2018-08-18;353 (82%);641 (89%);12;15;38%;62%;4;0;5;1;3;6;22;11;1;5;0;1;4/12 (33%);1/15 (7%);9;11;5/12 (42%);9/12 (75%);43;49;9;12;8;4;;;12;7;32/62 (52%);33/58 (57%);3;3;429;720;;;9;12;6;7;6;11;6;12;6/14 (43%);9/16 (56%);15;24;2;0;2;2018-08-18;-14;59;39;27;50;35;22;44;65;-43;-6;-41;-48;77;14;-23;-7;3;6;8;23;33;51;19;11;10;11;-24;11;7;48;-40;-1;49;37;14;-97;-94;-78;-59;-54.0;-23;-19;-12;24;36;12;-22;17;23;16;41;64;59;93;66;31;38;18;32;34;23;99;62;64;54;37;23;23;20;61;42;32;64;21;-20;-31;43;39;9;100;62;-60;-14;-15;-9;86;71;43;25;10.0;-42.0;3;14:30:00;1;ARS;CHE
BUR X WAT 2018-08-19;233 (68%);347 (75%);26;32;42%;58%;3;0;4;0;3;2;29;21;2;5;;;3/7 (43%);5/32 (16%);8;13;4/11 (36%);4/9 (44%);56;68;19;8;2;3;;;13;10;22/74 (30%);38/94 (40%);4;2;345;461;;;5;5;0;3;6;3;4;3;10/18 (56%);10/15 (67%);9;8;2;1;3;2018-08-19;-2;12;12;81;47;32;-29;-7;13;41;70;-17;43;25;13;5;-1;-2;24;14;-13;27;-45;9;16;19;26;13;39;22;13;7;-8;-100;-41;-14;-4;4;67;50;-2.0;-16;-12;-18;-82;-25;-45;-22;-87;-50;-33;-48;-22;-8;66;33;26;-26;-6;-8;-13;-4;-1;-1;-1;11;11;100;18;34;25;20;46;27;30;-17;6;1;68;1;1;-35;-26;-21;-18;-15;-10;-16;-7;19;-32.0;-7.0;1;10:30:00;-1;WAT;BUR
MCI X HUD 2018-08-19;146 (65%);706 (93%);19;17;24%;76%;0;5;1;7;2;9;29;24;3;10;0;1;1/12 (8%);5/24 (21%);5;11;4/4 (100%);18/23 (78%);46;44;4;9;9;0;0;2;7;5;25/63 (40%);34/43 (79%);1;1;224;760;;;3;20;2;9;1;14;2;12;7/16 (44%);3/5 (60%);5;32;2;0;1;2018-08-19;-3;85;54;44;32;24;16;54;72;89;70;6;54;34;22;56;33;-22;75;84;21;16;100;48;36;100;68;88;85;100;72;42;23;79;12;16;-31;-84;-43;8;72.0;-5;16;54;33;58;19;16;24;25;25;47;87;92;58;44;77;54;27;7;-11;-72;-51;-26;-12;-3;10;67;14;11;100;60;40;25;100;55;5;6;31;10;56;54;90;65;100;94;83;38;76;41;100.0;30.0;6;10:30:00;1;HUD;MCI
BHA X MUN 2018-08-19;485 (85%);183 (65%);23;12;67%;33%;;;2;2;2;0;18;16;5;3;;;2/17 (12%);3/13 (23%);16;9;8/20 (40%);3/6 (50%);58;56;13;16;0;1;;;4;10;28/56 (50%);24/77 (31%);2;2;572;283;;;6;5;4;3;3;3;3;1;5/12 (42%);13/28 (46%);9;6;1;1;2;2018-08-19;-2;-27;-13;-15;-11;-8;-11;8;-5;-6;-18;-2;-14;-41;-6;-5;-3;-3;97;58;100;100;-3;55;-26;-4;-17;-39;-100;-61;-16;-8;29;-3;24;7;4;28;88;46;69.0;-6;-8;-26;-26;-3;-23;-20;-32;-81;-54;-38;-40;-40;-41;-39;-3;-28;-55;-69;-45;-27;-22;-18;-16;-26;-30;30;-21;-17;-37;-21;-12;-27;-84;-20;-19;-44;21;-31;-20;-21;-9;-4;16;7;9;34;17;11;-9.0;-80.0;3;13:00:00;1;MUN;BHA
CRY X LIV 2018-08-20;559 (89%);280 (78%);13;19;64%;36%;3;0;5;0;6;1;17;25;7;6;2;0;3/23 (13%);4/16 (25%);9;12;16/21 (76%);17/27 (63%);56;63;13;6;2;4;0;1;10;14;38/49 (78%);29/58 (50%);2;2;625;359;0;1;9;4;4;5;6;2;7;4;14/22 (64%);9/14 (64%);16;8;1;1;2;2018-08-20;-2;-7;-31;-22;-20;-39;-13;-12;-14;-14;-13;-2;-15;-48;-34;-61;-34;-4;35;-28;-17;-62;-22;-39;-14;-31;-24;-17;-16;-89;-58;-32;-16;-19;30;12;18;-11;-35;5;-80.0;7;8;9;10;-16;31;-36;-40;-9;71;99;61;32;13;-5;-10;-58;-63;-35;-17;-11;11;8;27;13;11;-9;-45;-16;-8;18;32;44;11;2;-22;-68;-7;-47;-100;-59;-24;-17;-83;-1;-43;-34;-25;-7;-26.0;-20.0;0;17:00:00;-1;LIV;CRY
WOL X MCI 2018-08-25;577 (90%);177 (68%);13;15;72%;28%;1;1;2;2;6;3;11;35;9;5;0;1;4/30 (13%);5/14 (36%);15;3;16/20 (80%);6/12 (50%);51;48;8;13;1;5;3;0;7;10;21/36 (58%);24/57 (42%);3;4;644;260;;;9;7;6;6;6;2;9;4;8/9 (89%);10/19 (53%);18;11;2;1;1;2018-08-25;5;-5;2;1;6;-17;-10;-56;54;-20;-9;-12;-6;-26;-76;-60;-39;-37;-25;-37;-36;-39;-7;-37;-41;-30;-100;-86;-47;-2;18;76;49;-7;36;-68;-36;-38;-30;21;-14.0;-12;-24;-55;-38;-6;-100;-87;-56;-36;-51;-21;-42;-25;134;47;-10;6;-7;-21;-81;-44;-100;-33;-24;-39;-100;-8;-62;-40;-56;-21;-11;-12;-13;-94;-48;36;14;7;-5;-12;-6;-68;-43;-35;-22;-12;5;3;30.0;-61.0;1;09:30:00;0;MCI;WOL
ARS X WES 2018-08-25;257 (75%);461 (85%);15;14;39%;61%;1;0;1;2;3;5;24;26;2;7;;;4/15 (27%);3/21 (14%);8;8;17/24 (71%);9/15 (60%);61;51;13;16;9;4;;;17;6;25/49 (51%);27/45 (60%);3;3;341;544;;;6;9;5;2;5;10;7;8;10/14 (71%);11/15 (73%);13;17;3;1;1;2018-08-25;8;10;37;60;-46;-94;-60;-41;-41;-15;-2;11;1;-24;-8;12;3;2;-68;-38;-23;-42;24;-3;92;22;31;16;17;30;67;44;24;15;-32;49;21;16;20;-12;-76.0;-7;9;100;65;9;27;-51;-16;-11;89;57;3;17;15;44;14;31;15;9;6;11;7;-24;-12;-11;-61;17;-70;40;29;46;51;41;28;21;33;66;-18;82;54;42;61;99;56;34;20;-12;6;16;4.0;26.0;3;12:00:00;1;WES;ARS
BOU X EVE 2018-08-25;303 (78%);301 (79%);19;16;51%;49%;0;3;0;5;3;2;30;13;2;6;;;6/15 (40%);6/22 (27%);9;12;6/15 (40%);6/15 (40%);58;50;10;12;3;1;0;1;13;8;31/73 (42%);21/47 (45%);0;5;389;382;1;1;5;12;5;10;3;5;6;5;12/21 (57%);12/18 (67%);11;17;3;0;2;2018-08-25;2;-45;-55;-37;-14;-6;-58;45;12;7;11;3;21;40;43;43;10;-50;-37;-27;-27;-19;13;-11;-62;-52;-34;-23;-17;-10;-8;-8;-21;7;66;57;28;21;63;25;13.0;50;23;24;53;3;69;40;25;15;7;16;-34;-53;-30;-17;10;26;42;11;2;13;1;-25;-92;-59;-43;-34;53;24;45;82;49;100;72;43;24;57;-58;100;90;62;97;58;34;24;7;2;31;-66;25.0;43.0;2;12:00:00;0;EVE;BOU
HUD X CAR 2018-08-25;194 (67%);301 (76%);35;27;42%;58%;1;0;1;0;4;2;30;24;7;7;;;2/15 (13%);2/26 (8%);9;19;3/8 (38%);3/3 (100%);65;53;10;8;1;4;;;11;6;23/61 (38%);28/70 (40%);1;1;289;396;0;1;8;3;6;2;4;1;6;2;13/19 (68%);9/14 (64%);14;5;1;0;0;2018-08-25;8;9;25;48;31;32;51;30;18;9;3;26;-1;-2;-2;-8;-4;9;73;46;31;21;61;35;20;17;5;10;15;10;8;20;53;40;59;22;19;19;14;7;25.0;-8;3;4;14;28;10;-40;-47;58;16;18;11;12;10;20;-39;30;32;-39;-12;-18;-5;-11;-63;-35;-76;-9;-55;-33;-16;-9;-67;-39;-36;-100;-62;-58;-3;-40;-25;-53;-68;-41;-57;-47;-51;-45;-68;6;-77.0;24.0;0;12:00:00;0;CAR;HUD
SOU X LEI 2018-08-25;352 (83%);373 (83%);20;21;49%;51%;1;0;1;0;0;2;37;13;3;10;;;1/15 (7%);6/28 (21%);13;7;3/8 (38%);10/17 (59%);48;60;11;13;4;3;;;8;13;29/59 (49%);34/61 (56%);0;1;425;447;0;1;5;5;3;4;5;5;3;6;6/14 (43%);10/18 (56%);8;11;1;3;2;2018-08-25;42;19;29;61;77;51;-57;-28;-13;-16;-12;45;30;14;-14;6;96;58;76;37;83;43;42;21;14;30;49;29;17;10;4;22;13;31;15;16;17;16;17;17;60.0;-3;6;-8;-10;26;79;41;-59;70;24;-39;-12;-88;-35;-27;7;-31;-31;-5;6;39;3;1;-7;-13;-6;15;22;15;21;7;-24;-26;29;16;-19;-8;33;-7;-56;-54;-26;-10;-82;-51;-23;-10;28;22;54.0;-23.0;1;12:00:00;-1;LEI;SOU
LIV X BHA 2018-08-25;238 (73%);669 (87%);19;18;30%;70%;1;1;1;1;2;7;33;12;5;8;;;5/11 (45%);4/24 (17%);14;16;7/14 (50%);10/15 (67%);54;61;14;8;6;2;0;2;29;9;13/60 (22%);28/47 (60%);3;1;327;765;;;4;16;2;7;2;8;2;6;9/21 (43%);13/21 (62%);6;22;1;1;0;2018-08-25;2;64;73;41;17;18;35;19;16;7;3;2;40;31;29;73;89;56;38;28;18;49;4;28;23;48;97;50;31;9;2;-14;-1;5;41;29;23;23;23;40;12.0;27;42;29;-26;27;5;2;5;5;9;9;10;26;65;66;20;60;67;92;54;39;11;11;-18;-1;32;-37;65;53;40;51;65;91;77;30;18;-65;30;-35;-47;37;12;19;39;31;25;81;4;25;-38.0;72.0;1;14:30:00;1;BHA;LIV
